,口コミ,投稿日
2411,親孝行をしたいと思い、初めて母と二人で旅行に行きました。天気が悪く、露天風呂から富士山を見ることは出来ませんでしたが、夕食の和食がとても美味しく、いい思い出になりました。また利用させて頂きます。,2008/6/29
2412,まず従業員の方が皆さんが笑顔でお出迎えしてくださり気持ちが良かったです。ピアノも高い天井に響き渡り優雅な雰囲気でした。露天風呂の富士見酒も美味しかったです。今回、母と２人で行ったのですが、「また来ようね！」と言い合いました。お料理も、夕・朝ともに充実していて美味しかったです。,2008/6/28
2413,母と娘と女三人の気ままな旅ができました。当ホテルの良かった点は、接客態度、和懐石の料理、館内のロビー、廊下、庭園の雰囲気、アクセスの良さ、露天風呂、料金でした。また機会があったら利用したいです。,2008/6/27
2414,北海道から８０歳の両親を呼んで箱根温泉での宿泊を親孝行とプレゼントしました。前泊は和室の山梨　石和温泉だったので、また違った洋風の3階角部屋を用意してもらいました。芦ノ湖周辺の天候は変わりやすいので景色や観光は満足できないものでしたが、宿泊翌日の早朝、露天ぶろから見えた富士山は今回の旅のクライマックスとなりました。自分自身がこんな贅沢をした気分と両親への想い出に残るシーンをプレゼント出来たこと、ホテルグリーンプラザ箱根を選んで良かったと感じています。ホテル様の御配慮と丁寧な接客サービスに感謝します。天気の良い季節にまた女房と2人でぜひ泊まりたいです。,2008/6/26
2415,部屋・お風呂は綺麗で満足しました。夕食は美味しいとクチコミを期待して行ったのですが、残念ながら今ひとつでした。なにかもっと山の幸の特産を素材にして料理してほしかった。ある意味刺身はいらない。肉も不味かったです。焼き魚は生臭かった。雲丹とじがなければとても食べる気がしなかった。デザートが市販のアイスだったのには驚きでした。まぁ名前がそうだったのですが・・・。もうちょっと工夫してもいいのでは。朝食バイキングはおいしかったです。特に白パンはイタリアのフォカッチャのようにふわふわして３個も食べてしまいました。,2008/6/25
2416,料理も部屋もまずまずで妥当な料金でした。妻が浴衣をレンタルしましたが、丈が短かったので問い合わせると、合うサイズが無く部屋にある浴衣を着ました。最近は身長の高い女性も多いので、大きいサイズも用意してくれるとありがたいです。,2008/6/22
2417,結構一人旅をするのですが，こちらのホテルは、規模が大きいだけに、家族連れ・団体向けかなと思いました（接客側からは当然かもですが、お一人ですかとよく確認されました。今まで小規模の宿が多かった為ここまで尋ねられた事はなかったので）。もちろん、水準以上のレベルのホテルなので安心快適に利用できました。露天風呂も気に入りました。総括して、少人数同窓会風旅行とか、親を連れて旅行にぴったりのホテルだと思います。,2008/6/21
2418,6/14〜1泊でお世話になりました。子供の2歳の誕生日だったので家族旅行を兼ねて箱根に行くことになりこちらの宿の口コミを見て予約しました。我が家は車が無いので遊覧船とロープーウェーのチケットがセットになったプランで申し込んでしまいましたが２日間有効の箱根フリーパスを地元で購入したら遊覧船もロープーウェーも乗り放題でチェックインの際にその旨をお話したらすぐにスタンダードプランに変更してもらえ損せずに済みました。とても嬉しかったです。又、子供が部屋の電気スタンドを触ってヤケドした際もすぐに氷と薬を持ってきて頂いて本当に助かりました。ロープーウェーの姥子駅からホテルへのちょっとした散歩道を歩けばすぐにホテルで近くて良かったです。食事も味も量も十分でした。7歳の子供はスッカリ気に入ったみたいで又行きたい！とまだ言ってます。また利用したいと思います。,2008/6/20
2419,正直なところ、値段と施設の見た目だけでチョイスした宿でしたが、大当たりだったと思います。到着時のお出迎え、部屋までの案内、設備、接客態度すべてをとっても予想以上でした。箱根という場所で、この価格でこれだけのサービスを受けられるのであれば、十分妥当だと思います。露天と部屋からの眺めは最高でした。天気に恵まれたためか富士山がくっきり見えました。,2008/6/19
2420,あいにく天候には恵まれませんでしたが、なかなか充実した内容の一泊旅行でした。食事は確かに控えめではありましたが美味しかったです。露天風呂は開放感があり大変良かったです。また行きたいとおもいます。,2008/6/18
2421,じゃらんのクチコミを拝見しホテルグリーンプラザに一泊でしたが宿泊しました。天気にも恵まれロープーウェイ・海賊船も楽しめたし、ホテルの接客にも感謝しています。夕食時、下の娘が機嫌を悪くして泣き始めたらスタッフの方がぬいぐるみを持ってきてくれました。お陰で娘の機嫌がなおり安心しました。また箱根に行く際はここに宿泊したいです。,2008/6/18
2422,アジアンツインに泊まりました。部屋付の露天から富士山も見えたし、お湯もにごり湯のかけ流しで、とてもゆっくりできました。大浴場の方は混んでいたので、あまりゆっくりはできませんでしたが、お試しの化粧水などが沢山あって、楽しかったです。すこし残念だったのは朝食。焼き魚が冷めていたので、骨から身をはがせず… あまり食べられませんでした。七輪など、軽く炙れるものをそばに置くと良いと思いました。,2008/6/15
2423,初めて箱根に宿泊しました。和洋室で２Ｆだったのですが、景色は目の前の林と窓の下は従業員用と思われる駐車場でちょっと残念でしたが、きれいに清掃されていて気持ちよく過ごせました。レディースプランでお部屋のお茶菓子が５種類くらいあったり、ラウンジでのケーキセットも付いていてうれしかったです。旅行が決まる前からここのお風呂が気になっていたのですが、今回はお天気が悪く、富士見風呂とはいかなかったのでまたリベンジしたいと思います。,2008/6/10
2424,期待の富士山が朝食前の朝風呂で見られたのは幸運でした。ロープウェイの駅まで近くフリーチケットをフロントで割引購入でき往復ゆっくり楽しむ事ができました。部屋が１階の隅っこのほうで暗くてちょっと残念でした。夕食は少なめプランでしたが味も内容も満足できるものでした。お風呂がもっと充実するといいですね（例えば屋上に見晴らしよくとか・・あっロープウェイから見えてしまうか？？）従業員の皆様、皆、感じよく好感がもてました。ありがとうございました。,2008/6/10
2425,グリーンプラザに着いた時はなんだかすごく感動しました。ピアノの生演奏の出迎え、丁寧なスタッフ、完璧な客室、化粧用品は肌が敏感な私でも、まったく持参する必要がないぐらい色んなものが揃っていて、全部試せないほどでした。露天では無料のお酒もあり、その為か、知らないおばさん達とも仲良くなれました。食事も、夕食はそれぞれのテーブルに担当が付いており、色々気を配って頂き、料理も美味しく、いっぱい食べれました。こちらのホテルに泊まれて本当に良かったです。6月末にまた行く予定ですのでお世話になります。今度は是非富士山をみたいです。,2008/6/10
2426,残念なことに悪天候の日に利用させて頂きました＾＾；せっかく露天風呂から大好きな富士山を眺めたかったのに・・・イルミネーションの綺麗な庭も散歩したかったのに・・・。絶対またリベンジすると主人とも決めました！すぐ近くから乗れるロープウェイにも今度こそ！！またお世話になります♪●嬉しかったこと→ウエルカムドリンクサービス・タイミング良くホールでの生ピアノ演奏・廊下に置いてあった各サイズの浴衣・お風呂上りの冷茶・ショップにある試食品●感心したこと→従業員の素敵な笑顔・とても親切な態度・温かいおもてなしさすがはホテル！文句なし！！天気はイマイチでしたが気分は最高でした☆,2008/6/9
2427,料理が思ったより美味しかったです。宿泊日翌日は凄い豪雨で大変でした。勿論 富士山は見られませんでした。スタッフの対応もまずまずでした。残念なのは、朝ご飯の時 だいぶ待つ事かな？それ以外は良い宿だと思います。また、宿泊したいです。,2008/6/9
2428,２回目の宿泊です。前回利用した時に大変気に入ったので、今回は主人の母の還暦祝いにと、主人の妹夫婦を含め７人で宿泊しました。１歳の子供がいるため、清潔感・安全面・サービスで考えても安心できるこちらのホテルを選びました。前回は庭園の見える和室でしたが、今回富士山の見える和室（こちらの方が値段はちょっと高め）を指定したところ、天気が悪く富士山が見えなかったのと、景色的には前回の庭園が見える部屋の方が良かったかな〜と思ったのが残念でした。でも、主人の母のお祝い用にケーキを頼んだところ、ホテルからフルーツの盛り合わせをサービスしていただき大変感激いたしました。両親、妹夫婦も喜んでくれてとても良かったです。また機会があれば利用したいと思います。,2008/6/9
2429,どなたかも指摘されてましたが、部屋の臭いが気になりました。空気清浄機をお借りしたいと聞いてみましたが、無いとの事で残念でした。夕食のメニューが他のプランとは内容・品数が違うのですね。少し物足りなく感じました。接客サービス、お風呂は申し分なかったです。,2008/6/1
2430,今回のじゃらんさん、ホテルさんの共合キャンペーンは大変CPは満足です、有難う御座いました。箱根は2ヶ月に一度位の周期で数年色々なホテルにお世話になりましたが、当ホテルには満足を致しました。今後も時々お世話になりますが宜しくお願い致します。,2008/5/31
2431,露天風呂から富士山がみえて素晴らしかった。夕方お風呂から鶯の美しいさえずりが心をとってもいやしてくれました。,2008/5/30
2432,ホテルに入った瞬間サービスに感動しました。ロビーに入るとウエルカムドリンクサービスがあり、ワインやお茶を無料でいただきました。疲れていてのども渇いていたので本当にありがたかったです。疲れを癒してからチェックインできてとても良かったです。最初の心遣いから分かるようにチェックアウトまであらゆる面で行き届いていました。また泊まりにいきたいです。,2008/5/28
2433,子ども達と母の４人で利用させていただきました。ロープウェイの駅からも近く、お庭もきれい、山懐にいだかれた静かなリゾートホテルでした。外国人の観光客も多かったです。ゆったり優雅に箱根を満喫できました。お風呂は朝風呂で雪を頂いた富士山が眼前に迫り、大迫力でした。母も感動していました。食事も上品でおいしくておなかいっぱい。大満足です。幼児用のメニューもおいしかったようです。ホテルの方は全員挨拶が徹底されているようで、教育が行き届いていることを感じました。玄関口で“研修中”の名札をつけた男性にシャトルバスのことをたずねると発車間際のバスに声をかけ、確認してくださいました。温かな対応が良い思い出になりました。ありがとうございました。また次も利用させていただきます。,2008/5/25
2434,露天風呂、食事と最高によかったです。次の日にロープウェイで芦ノ湖や大涌谷の見学をしましたが、チェックアウト後も駐車場を利用させていただき助かりました。Ｓ社の携帯を使っていますが、ホテルが悪いわけではないのだけれど、ここは圏外になってしまいます。,2008/5/23
2435,連泊しました。そばに教会もあり、ちょうど、結婚式があって、とてもすてきでした。２泊目の夕食は和食会席でしたが、味もよく、完璧！でした。箱根ははじめてですが、宿に近いところで、楽しめるところがたくさんあるので、また季節を変えていってみたいと思います。,2008/5/21
2436,今回初めて宿泊させていただきました。まずお風呂からの眺めが素晴らしいですね〜☆夕暮れ時に入浴したのですが、富士山が絶景！！！朝食のブッフェは種類も多くて、味も最高でした。部屋に加湿器があったのでホテルは乾燥がツライので非常に嬉しかったです。次回もまた宿泊させていただきたいと思います。,2008/5/12
2437,先日友人と利用させていただきました。スタッフの方々の応対がとても丁寧で心地のいい時間を過ごすことが出来ました。次回は是非家族で利用させていただきたいと思います。,2008/5/9
2438,今回、初めて両親を連れて旅行することになり、富士山の見える場所を選びました。夕食は、今までにないほど美味しい夕食でした。どこかの料亭に来た感じで両親も大満足でした。冷たいものは器も冷たく、温かいものは温かく、とにかく言うことありません。しいて言うならば、料理を運んで来る方の笑顔がほしかったですね。温泉も良く、露天風呂も富士山が見えていい気持ちでした。また、利用させてもらいたいと思いました。ありがとうございました。,2008/5/9
2439,ホテルから大桶谷（源泉の噴出している所、黒卵でも有名）へ、ロープウエイ乗り場近くであること、車でも直接5分で行ける立地条件。富士山も見えて、もう一度行きたいホテル。,2008/5/5
2440,先日はお世話になりました。車で到着するとすぐに迎えにきてくれて、荷物を運んでくれたり、ロビーでの冷たい飲み物のサービス、とても気持ちの良いものでした。ただ、部屋に案内されドアを開けた瞬間、煙草の臭いがきつくて、即、窓を開けさせてもらいました。夜寝ているとき以外は、ずっと開けっ放しにしていたので、もう少し消臭のことなども考えていただきたいと思います。ゴールデンウィーク期間ということで、宿泊客も多く、11時過ぎに大浴場に行ったとき（入浴時間が夜12時まで）は、混雑していて、入るのを断念しました。24時間は入れるとうれしいのですが。。。,2008/5/2
2441,到着時にホテルのロビーでの、ウェエルカムドリンクのサービス、又、ピアノの演奏。宿泊客を迎える姿勢がとても素敵で、うれしく思いました。温泉、食事の後、短時間でしたが、再びピアノの演奏を聞けて、優雅な気分になりました。安いプランだったので、期待はあまりしていませんでしたが、充分な満足感でした。一つ気になった点は、お部屋のトイレの鍵がこわれていました。お世話になりありがとうございました。,2008/5/1
2442,　外国人の義母と主人、0歳の息子の4人で和室に宿泊させていただきましたが、部屋も二間続きで広く、富士山はあいにくの悪天候で望めませんでしたが、山の景色を満喫することができました。　夕食も、日本食でしたが外国人の口に合い、義母もとても喜んでいました。食前酒をとても気に入って、買って帰りたいと言っていました。　夕食時に子供が泣き出してしまいましたが、ぬいぐるみを貸してくださり、息子も喜んでいました。お風呂場の脱衣所にベビーベッドが設置されており、2ヶ月の子供を連れても、安心して宿泊でき、大変感謝しています。　今度また箱根に観光に行く際は、是非利用させていただきたいと思います。,2008/4/28
2443,・ﾛｰﾌﾟｳｪｲの駅からすぐ近くで便利。・食事は朝夕共にとってもおいしかった。・ﾎﾃﾙ従業員の方達も親切で笑顔が素敵。特にﾌﾛﾝﾄは、ﾍﾞﾙを鳴らすと飛ぶように控室から現われて、お客様を待たせないという対応がﾌﾟﾛ。・露天風呂は天気が悪かったので富士山は見られなかったが、鶯が鳴いていて山霧が頬に気持ち良かった。掛け流し湯ではなかった。・部屋は新しくはないものの、綺麗で広かった。有線が入っていて、好きな音楽を十分に聞くことが出来楽しかった。・ﾃﾞｻﾞｰﾄ付のﾌﾟﾗﾝで、お得感有。・ﾎﾃﾙ内のﾌﾞﾃｨｯｸは、もう少し品揃えを検討されたし。・ﾎﾃﾙ内に飾ってある花が造花ばかりで、味気なかった。・この価格でこの内容なら、とっても満足できると思った。,2008/4/27
2444,新装なって初めて宿泊しました。以前より明るく、清潔に、そしてサービスもよくなったように思います。食事も家族（６０歳以上）構成から和食で美味く、量も適切であった。ホールでサービスのカリフォルニアワインを戴いたが、夕食には他にワインしかないとは残念です。是非サービスで置いたものは夕食などでも注文できるようにして欲しいものです。温泉もよく、楽しい一泊でした。また宿泊したい。,2008/4/26
2445,今回は母と２人でレディースプランを利用して宿泊しました。お部屋は和洋室の部屋を選びました。畳がとても綺麗で母がとても感動していました。夕食もボリュームがありおなかいっぱいになりました。お風呂も満足して入ることができましたが、残念だったのが露天風呂からお天気が悪く富士山が見えなかったことが心残りです。母も楽しみにしていたので、また天気が良い日に利用したいと思いました。ロープウェイの姥子の駅からのホテルまでの道がわかりづらいです。宿泊した日は海外の観光の方が多く少し騒がしくてびっくりしました。お天気がいいと最高の所だと思います。温泉最高です。,2008/4/26
2446,富士山が見えるホテルをと期待していましたがあいにくの天候で残念でした。これは自然が相手なので止むを得ないことですが、次回のお楽しみとします。従業員のかたの対応には大変満足していますが、和室に姿見が欲しかったと女性陣がいっていました。それと、せっかくロビーでピアノの生演奏があり楽しみにしていましたが、食事の時間が遅く聞けなかったのが残念でした。,2008/4/18
2447,ゆっくり出来ました。キーポイントの富士山も何とか見ることが出来、満足であります。,2008/4/18
2448,友人４人で宿泊しました。お部屋は和室を指定したので、圧迫感なく気持ち良く過ごせました。お風呂もとても清潔感があり、清掃も行き届いていたように思います。霧の多い日で、富士山が見れなかったのが残念でしたが、露天風呂では、お酒が飲めるという、貴重な体験が出来、良かったです。夕食は良く食べる私にはちょうど良く、美味しく頂きました。ただ、一つ残念だったのは、レストランの係りの方が多いせいか、こちらのテーブルの周りを右往左往、下げる食器を見ているのだと思いますが、こちらは早く食べなくてはいけないように感じ、せっかくの夕食が落ち着いて食べられませんでした。食器を下げて下さるのは有り難い事ですが、食べてすぐでは早すぎるように感じました。それ以外はとても良かったです。お土産屋さんも試食がたくさん用意してあり、ここで、全て揃いました。またお世話になりたいと思います。,2008/4/17
2449,上海から来たもので、初めて箱根へ行きました。とてもいいホテルでした。ただその日霧のせいで、富士山が見られなくてとても残念でした。機会があったら、また利用したいです。,2008/4/15
2450,今回、1人旅で利用させていただきました。とても広い部屋で快適に過ごすことが出来ました。私は花粉症のため、加湿器があり喜んだのも束の間、差込み口が見つからず部屋中探し回ってしまいました。レディースプランだったせいか料理の量は物足りませんでした。最初や途中に和菓子が出るのが不思議…。サービスの桜のムースとコーヒーは、とても美味しかったです。数多くの化粧品を気軽に試すことが出来て、驚くほど肌がスベスベになるクリームに出会えたのはラッキーでした。,2008/4/12
2451,以前から泊まってみたいと思い、今回は孫と二人で伺いました。晴天に恵まれ、富士山もきれいに見ることができました。お部屋も角部屋が取れたこともあって、５年生の孫は出窓からの富士山に感激していました。露天風呂も開放的で、清潔感もあり広くて満足でした。あわびの踊り食いはとてもやわらかく味も最高で、春休みのいい思い出になりました。孫と旅行することが多く、孫の採点は結構厳しいのですが、今回は合格！と言っていました。次は親子三代で利用しようかと考えています。ただ、ロープウェイからの近道が高齢で足の悪い母には無理そうなので、送迎があれば嬉しいと思います…。,2008/4/9
2452,宿泊する２日前にホテルから自宅に確認の電話があるのは？？？ふたりで宿泊して４万円以上もしたのに、部屋はビジネスホテル並みなのは正直ガッカリです。朝食バイキングも？？？？？夕食の懐石料理や従業員の態度が良かっただけに、とても残念です。,2008/4/8
2453,長女の卒業旅行で箱根に行きました。従業員の方の心のこもった対応に日ごろの疲れが飛びました。夕食も奇麗でとても美味しかったです。妻は、露天風呂で富士山を見ながらのお酒のサービスに感激してました。男湯にこのサービスが無いのが残念・・・・・。次女も自分の卒業旅行の時も行きたいと言ってました。どうもありがとうございました。,2008/4/6
2454,予定時間より遅く着くとお電話した際、優しく対応して下さり安心してチェックインすることが出来ました。内装もキレイで特に露天風呂は目の前に見える富士山が素晴らしく、気持ち良く入ることが出来ました。ですが夕食時、各テーブルに担当の従業員が料理を運んでくるというものでしたが私たちの席を担当した従業員の接客が悪く、デザートの時のスプーンをポンっと放るように目の前に置かれた時は家族全員言葉を失いました。忙しいのはわかりますが、疲れているところを見せないで欲しかった。料理はとても美味しかったのに、嫌な気持ちのまま食事を済ませたのが残念です。部屋は家族３人でも十分に広く使うことが出来たのですがタバコの臭いが充満しており、空気を入れ替えようにも空調の使い方がわからずスイッチを入れても全くタバコの臭いが消えませんでした。説明書などを置いてもらえると助かります。それを除けば、のんびりと泊まれる場所だと思います。,2008/4/6
2455,露天風呂から見える富士山は最高でした。,2008/4/6
2456,今回は友人と一緒でしたが、色んな特典があり、とても喜んでもらいました。ぜひ今度の機会にまた利用したいと思っております。ありがとうございました。,2008/4/5
2457,スタッフの皆さんが、どなたも笑顔で接客しているのが好感が持てました。残念だったのは３点。一つめは、和室を予約したのですが部屋の前が林で、眺めが良くなかったこと。箱根の景色を楽しみにしていたので、がっかりでした。（そのような部屋のプランだったと知っていたら予約しなかったのに･･･。）二つめは、お風呂は、眺めはいいのですが、塩素の臭いが多少きつかったこと。多くの人が入るので衛生上仕方ないのでしょうが･･･。三つめは、朝のバイキングで入り口で待たされたこと。前日に、待たされるといやなのでスタッフの方に聞いたところ、「遅い時間は混みますよ。７時半前ならすいています。」と話していたので、７時半に行ったのですが、かなり待たされました。逆に食事を終えた８時半過ぎは、がらがらでした。朝食のバイキングもある程度予約制にしてもらえたらと思いました。,2008/4/4
2458,和洋室一室で大人四人と６ヵ月の赤ちゃんがお世話になりました。接客の対応は最初の出迎えから、案内、食事の時のサービスも、とても親切・丁寧でとても素晴らしかったです。感心致しました。有難うございました。部屋は和室部分が６畳でちょっと狭かったですが、土曜日で一室しか取れなかったので止むをえませんね。食事はマアマア満足できましたが、特に朝は種類が多くて楽しかったです。風呂は満室のお客さんのため大混雑で、露天風呂へはほとんど入れず残念でした。,2008/3/17
2459,両親、姉、私ども夫婦5名でお世話になりました。到着のときから帰る時までの、スタッフの気持ちの良い対応に感激しました。早朝の風呂で、朝日に輝く富士は、本当に素晴らしかったです。夕食の和食懐石ですが、もう少しゆっくり食事したかったと言っていましたが、私は丁度良いペースだと思います。他の方の口コミで遅すぎるとの指摘も有りましたが、人ソレゾレ感じ方が違うので大変だと思います。母が又行きたいと言っていました。お風呂でのお酒が大分気にいったみたいです。,2008/3/10
2460,到着が遅れる旨連絡の際、応対が大変明るくて好感が持てました。客をもてなすアイデアが随所に感じられて、心地よいひと時を楽しませて頂きました。スタッフ全員愛想が良く、応対もしっかりしていて、経営者の思想・信条がきっちり反映されていると感じました。フリーランスフォトグラファーとして全国の旅館・ホテルに泊まる機会が多いのですが、この料金のクラスでは間違いなくトップクラスです。客をもてなすというつかず離れずのプロ意識が、何といっても素晴らしい。,2008/3/5
2461,妊娠中に（安定期）利用しました。部屋もエレベーターの棟ではなかったのですが、フロント・食事の場所・お風呂と近くて快適に過ごせました。売店などで使える1000円分の券を頂いたのでとてもよかったです。美術館も近くにあったりと環境もよかったです。,2008/3/4
2462,２月中旬に宿泊しました。食事は朝のバイキングは良かったと思いますがコーヒーの味がイマイチで残念です。夕食は味はとっても美味しかったのですが出てくるのが遅い！遅すぎる！！席に着いて「担当者が参りますので」って、いつまで経っても来なくて、忘れられたかと思いました。担当者も料理の出も遅かったのですが、やはり富士山が部屋からも風呂からも楽しめてそれを見たら、食事の事は忘れてしまいました。浴衣が全サイズ廊下に取り揃えてあったので汚してしまった時の替えに使わせてもらいました。行ってみてわかったのですが、ロープウェイが終了してしまったら宿まで伊豆箱根バスしかないので、時間を合わせて行かれると良いと思います。（私たちは小田急のフリーパスを持っていました。）,2008/2/21
2463,接客姿勢などはすばらしいと思います。別に悪いというワケではないのですが、フグ料理のコースは期待していたほどは美味しくなかったです。フグ専門店じゃないので当たり前だとは思いますが、ちょい期待していたもので、スミマセン。部屋に清潔感はありますが、防音性があまりなく階上で走り回ってる子供の足音（親も悪いとおもいますが）がうるさく響いていました。風呂は温度も良く快適ですが、シェービングフォームが欲しかったのと、これは客のマナーも問題ですが、使用済みのカミソリ等が落ちていたりしてヤヤ不気味でした。館内の販売機等も通常料金で良心的です。伝統的な温泉宿ではなく最近の温泉宿を低価格で楽しみたい家族連れなどにはオススメだと思います。ちなみに、露天から富士山はよく見えます。,2008/2/20
2464,昨日、宿泊させて頂きました。部屋は和室でしたが、とても広く、窓からは富士山を見ることが出来ました。露天風呂からも富士山が見え、とても気持ちよかったです。夕食時の接客の方も対応がよく、若いながらもしっかりしていらしゃる。系列のゴルフ場もよく利用させていただいていますが、とても満足してます。,2008/2/9
2465,リニューアルオープンしたばかりで、温かいサービスが素晴らしいホテルでした。露天風呂での富士見酒は格別。眺めが本当に素晴らしい。天気がいい日は絶景ですよ。機会があればまた利用したいホテルです。,2008/2/9
2466,夕食にふぐ会席を食べました。鍋や雑炊をスタッフの方が作ってくださり、とてもおいしく楽しく会食が出来ました。大浴場のサウナが少し狭かったのが残念でした。サウナの中にテレビなどがあれば嬉しいです。サービスは、皆さん笑顔で親切な方が多くとてもよかったです。,2008/2/7
2467,今回、友達の誕生日ﾊﾟｰﾃｨｰを兼ねての箱根旅行でした。ﾚﾃﾞｨｰｽﾌﾟﾗﾝでの宿泊だったんですが、ｹｰｷｾｯﾄを誕生日仕様にしていただいたり、ﾏｯﾁやﾌｫｰｸを貸していただいたり、ｺﾁﾗのわがままにも笑顔で対応してくださいました。ありがとうございました。また、露天風呂から見える富士山は本当に最高でした。ご飯も美味しかったし、部屋も十分広さがあってよかったです。また利用したいと思います。,2008/2/5
2468,一日目は大雪でロープウェイを降りてから、ホテルまでちょっと歩きにくかったですが、玄関前で従業員の方にタオルを貸していただいたり、ウェルカムドリンクをいただいたり大変丁寧な対応にほっとさせていただきました。部屋はアジアンツインルームで、内装はおしゃれできれいでした。夕飯のふぐづくしも非常においしく、また、部屋についている露天風呂は白濁した温泉らしい温泉で最高！また、一日目は雪降る中の雪見風呂、次の日は快晴となり、雪化粧をした富士山に朝日があたりとてもきれいなオレンジ色をした富士山を見ながら朝風呂も楽しませていただきました。どれをとっても非常に満足させていただきました。また季節を変えて伺わせていただきたいと思います。,2008/2/5
2469,初めて利用させていただきました！主人と二人で久しぶりの旅行でした！夕食の河豚懐石は絶品でした！その中の一品主人がとても気に入りわがままを言って特別に作っていただきありがとうございました！お風呂もよく楽しい一日を過ごせました！また今度は季節の良い時に伺いたいと思っています！,2008/1/27
2470,親戚の人を箱根に連れて行き、一泊お世話になりました。ウエルカムドリンクのワイン、フロントの対応ととても良かったです。露天風呂、食事も問題なしでした。ただ、これが一番重要ですが、部屋が大浴場の上にあったことでした。お風呂の入口のドアが自動で閉まるのですが、その音がジー、ガタガタガタと響き、入浴時間以外（２４：００−５：００）、その音と振動に悩まされ、眠ることができませんでした。お風呂の上に客室を作るのであれば、音、振動をなくすような設計にして欲しいと思いました。おかげで、すっかり次の日は寝不足でした。,2008/1/20
2471,最高に心地よく過ごせました。両親への支配人様からのご配慮には、直接お会いしたわけではありませんがサービス以上の思いやりを感じました。全体的にとても清潔で露天風呂もあり、部屋から見える景色もさわやかです。何より、夕食の和食懐石プランは満腹で食べれきれないほどボリュームがありました。ただ料理を運んでくる若い女性1人だけ、ガチャガチャと扱いや配膳が荒いのは残念ですが、その方個人の事で、全体的に大満足です！他のスタッフどの方も非常に対応が感じよく気分良く過ごせるので、ぜひまた宿泊したいと家族で話しています。ありがとうございました。希望を言えば食事後にコーヒーをゆっくり満喫したかったのですが、すでに時間弊店とのこと。もう少し遅くまで営業して下さると、とても嬉しいです。,2008/1/20
2472,あいにく悪天候で景色は全く楽しめませんでしたが、宿には満足しました。お土産コーナーには試食がいっぱいあって楽しかったです。夕食も堪能しました。,2008/1/18
2473,露天風呂がとにかく良かったです。お天気も良く温泉につかり、富士山を見ながら飲む冷たいお酒はとても美味しかったです。夕食は可も無く不可も無く普通な感じでしたが、朝食は種類も多く美味しく頂きました。電車で行ったので箱根湯元の駅からタクシーを利用したのですが、5000円程かかってしまいました。送迎のサービスが有れば…と思いました。,2008/1/13
2474,非常に快適に宿泊させていただきました。明るいうちに到着したためか、駅からも思ったより分かりやすくフロントへ着くことができました。立地、金額、対応ともに非常に満足しており、機会があればまた利用させていただきます。,2008/1/10
2475,両親と伺いました。夕食はお品書きが用意され、一品ずつ提供されました。朝食はｸﾞﾘｰﾝﾌﾟﾗｻﾞらしい品数豊富なﾊﾞｲｷﾝｸﾞ形式で、食事面はまずまずだと思います。施設は思ってたより古く感じましたが、不清潔という意味ではありません。せっかくの温泉なので源泉にこだわってくれたら、言うこと無しです。社員の対応は全面的に良かったです。,2008/1/10
2476,箱根の旅では必ず利用しています。ロープウェイの姥子から歩いてすぐなので行きやすく何度も行きたるなる程立派なホテルです。部屋はとても綺麗でアメニティも設備も完璧です。お風呂は富士山が見え絶景。食事も季節感たっぷりでおいしく、従業員の方々も親切丁寧で最高のホテルです。箱根に行く時はまた利用します！,2008/1/7
2477,標高８００ｍからの富士山は絶景でした！お風呂については姫湯は、嫁も富士山が見えてとてもよかったとの感想でしたが、殿湯は仁王立ちしないと富士山が見えませんので富士山側の岩の位置をもう少し考えて見えるようにしたほうがよいかと思います。全体評価としてはお正月ということもありイベントが餅つきや書初めなどホテルのがんばりが見えてよい印象でした。また機会があれば行きたいと思いますので従業員の方がんばって下さい。ありがとう。,2008/1/4
2478,両親と姉、私たち夫婦で利用させて頂きました。チェックインの時間よりかなり早くついてしまい、父が大変気むずかしい人間なのでヒヤヒヤしたのですが、丁寧に応対して頂き助かりました。混み合う期間だったにも拘わらずフロントの方には、こちらの些細な質問にも丁寧に答えて頂き、楽しい時間を過ごせたことを感謝しております。食事も大変おいしくいただくことができました。特に、朝食のバイキングが品数が多く、落ち着いてたくさん食べることができ、両親も大変喜んでおりました。女風呂の戸が開かなくなっていてすぐに直らなかったことが残念でしたが、ゆっくりした時間を過ごすことができ全体的には大変満足しております。お世話になりありがとうございました。,2008/1/1
2479,到着し、さっそくホテルの方に出迎えて頂き荷物を運んで頂きありがとうございました。ウェルカムドリンクと丁寧な説明は感激でした。部屋もとても清潔感があり、きれいで妻も喜んでおりました。お風呂はとてもいい湯で、雲っていたため富士山は見えませんでしたが、とても良かったです。２４時間入れるともっといいです。夕食は、手が込んでいましたが、私たちにはもう少しボリュームがあった方が良かったです。朝食はバイキングで種類もたくさんあったので朝からたくさんいただきました。とても落ち着いていてまた泊まりたい宿となりました。箱根旅行の良い思い出になりました。ありがとうございました。,2007/12/30
