口コミ,投稿日,preprocessed_text
紫陽花の季節の箱根。温泉掛流し、食事の口コミのいいホテルということで予約しました。和洋室のお部屋は、広く快適でした。ただ、ベッドが腰痛の私には、合わなかった様です。掛流しの温泉は、浴槽は１つですが、柔らかい泉質で気持ち良かったです。夕食も朝食も、初めにテーブルに全部並べられ、お品書きもありません。　夕食は、優しい味付の和食で、野菜もいろいろ、美味しくいただきました。蒸野菜のディップソースもおいしかったです。朝食も、大きな鯵の開きや温泉卵などの和食でおいしかったです。が、テーブルの真ん中に置かれた各自ご自由にのご飯は、時節柄、衛生的でないので、ホテルの人に配膳してもらいたいです。泊まった部屋は２階でしたが、上の階が夜中の１２時頃もドタバタしていて、うるさかったのが、残念でした。,2023-07-01,紫陽花 季節 箱根 掛 食事 口コミ ホテル 予約 和洋 室 快適 ベッド 腰痛 私 様 掛 流し 浴槽 泉 質 夕食 朝食 初め テーブル 全部 品書き 夕食 味 付 和食 野菜 蒸 野菜 ディップソース 朝食 鯵 開き 卵 和食 テーブル 真ん中 各自 自由 ご飯 時節柄 衛生 的 ホテル 人 配膳 階 上 階 夜中 頃 残念
口コミにもありましたが、ご飯がとても美味しいです。卓球も楽しめました。スタッフの方が気さくで、心が感じられ、のんびり過ごすことができました。オススメすると予約が取りにくくなってしまうと困るのですが、オススメです。,2023-07-01,口コミ ご飯 卓球 気さく 心 オススメ 予約 オススメ
遅い時間帯のチェックイン可能の強羅駅近くのホテルを探していて口コミ評価も高かったのでこちらを利用させていただきました。夜も朝もお風呂であまり人と合うこともなくほぼ貸切、しかも源泉、温泉にのんびり入れました。お部屋も広々とした和室でのんびり過ごせてよかったです。またロビーのお花がとてもきれいで印象に残りました。,2023-06-28,時間 帯 チェックイン 可能 強羅 駅 近く ホテル 口コミ 評価 夜 朝 あまり 人 貸切 源泉 和室 ロビー 花 きれい 印象
強羅に用事があり、強羅駅付近で探していた所、口コミも良かったので今回このホテルを選びました。お部屋はとても広く作務衣も使いやすく、ゆっくりくつろげました。部屋数も少ないので温泉がタイミングによって、貸し切り状態で入れたのも良かったです。食事も品数多く大変満足しました。また利用したいです。,2023-06-11,強羅 用事 強羅 駅 付近 所 口コミ ホテル 作 務 衣 数 タイミング 貸し切り 状態 食事 大変 満足
女性陣の多い家族構成だったので2部屋目として和室を利用。想像していたより広くて落ち着く綺麗なお部屋で大満足です。料理は朝も夕も美味しくてほぼ完食しました。お風呂の湯船はちょっと小さいかなとも思いましたが、部屋数の多くない宿ですから十分なのかもしれません。スリッパの数を見て混んでそうなら少し後にするとか調整すれば、ほぼ貸し切りくらいの感覚で入浴できます。接客は優しい感じでとても好感が持てました。必要以上に接触してこない感じなのも個人的には良かったかも。建物も館内もお風呂もお部屋も清潔感に関して気になる部分はまったく無し。ここまで満点なのは初めてです。我が家としては少しだけ価格設定が高いところでしたが、それでも何かの記念やお祝いなどでは是非また利用したいと思えるほど満足度の高いお宿でした。次回の機会がありましたら宜しくお願いいたします。,2023-06-05,女性 陣 家族 構成 目 和室 想像 綺麗 満足 朝 夕 完 食 湯船 数 宿 十分 スリッパ 数 後 調整 貸し切り 感覚 入浴 接客 感じ 好感 必要 以上 接触 感じ 個人 的 建物 館内 清潔 感 気 部分 満点 我が家 価格 設定 記念 お祝い 満足 度 宿 次回 機会 お願い
初めて伺いました。こじんまりしたホテルですがスタッフの方が大変親切で、お食事は味もボリュームも満足でした。食べきれないほどの量でしたが、味付けが優しかったので完食できました。是非また伺いたいと思います。ありがとうございました。,2023-05-17,ホテル 大変 親切 食事 味 ボリューム 満足 量 味付け 完 食
彼女と2人旅で利用させて頂きました。結論、大満足のお宿でした。まず夕食の豪華さに驚きました。季節の食材を取り入れられ、お心遣いが感じられる素晴らしいお食事でした。お部屋はとても清潔で、窓から箱根の山々を眺めながらとても静かにリラックスした時間を過ごすことができ、彼女も大喜びでした。お陰様で最高のGWの旅になりました。,2023-05-05,彼女 人 旅 結論 満足 宿 夕食 豪華 季節 食材 心遣い 食事 清潔 窓 箱根 山々 静か リラックス 時間 彼女 喜び お陰様 最高 GW 旅
食事は、品数が多くて全体的に優しいお味。落ち着いた雰囲気のなか、ゆっくりと楽しみました。お米やお水はセルフサービスです。もちろん完食しました。お風呂は、内湯だけですがあったまる透明なきれいなお湯でした。お部屋にあったかごや作務衣も重宝しました。角質落としや化粧水などもあり、手ぶらでも大丈夫でした。その日の天気や気温などで温泉の温度が変わるとのことで、夜そして早朝と2回楽しみましたが、本当に温度がかなり違うのでびっくりしました。お部屋も思っていてよりも広々としていてとても快適でした。強羅駅そばというのは、とても便利でした。,2023-04-30,食事 全体 的 味 雰囲気 なか 米 水 セルフサービス 完 食 内湯 透明 きれい お湯 かご 作 務 衣 重宝 角質 落とし 化粧 水 手ぶら 大丈夫 日 天気 気温 温度 夜 早朝 回 温度 びっくり 快適 強羅 駅 そば 便利
強羅への宿泊は初めて。姉妹の旅行でお世話になりました。ホテル内は清潔感にあふれ、とても気持ちよく過ごすことができました。夕食も朝食も、手作りの料理が多く、盛り付けが素敵で、美味しくいただきました。大満足！アットホームな雰囲気で、おかみさんとお話しできてホッコリいたしました。なんと、お客様に提供するために、山からワラビや筍などを採ってこられるのだそうです。気持ちがこもった料理でした。お風呂も貸切状態で利用できて、ゆっくり過ごすことができました。浴衣でなく、作務衣もよかったです。大きなホテルではありませんが、オススメです。,2023-04-12,強羅 宿泊 姉妹 ホテル 内 清潔 感 夕食 朝食 手作り 盛り 付け 素敵 満足 アットホーム 雰囲気 おかみ お話し ホッコリ お客様 提供 山 ワラビ 筍 気持ち 貸切 状態 浴衣 作 務 衣 ホテル オススメ
部屋の広さ、料理に大満足です。また、急な要望にも対応いただきありがとう御座いました。子供がアレルギーごあり食べれないと知ると、わざわざ別の食材を探してるもらったり、様々面で細やかな心遣いに感謝しきれません。是非、また行きたいです。,2023-04-09,満足 急 要望 子供 アレルギー 別 食材 様々 面 細やか 心遣い 感謝 是非
妻と祖母との３名でお世話になりましたが、我が家だけの貸切状態でした。温泉もゆっくり満喫でき、妻も祖母も大満足。食事はクオリティが高く、これも大満足。我が家のためだけにスタッフの皆さんがサービスしてくれたので、リッチな気持ちになりました。部屋は広くて見晴らしもよく、祖母もゆっくり楽しめたそうです。どこも清潔に清掃されていたのも好印象でした。どうもありがとうございました。,2023-04-09,妻 祖母 名 我が家 貸切 状態 満喫 妻 祖母 満足 食事 クオリティ 満足 我が家 皆さん サービス リッチ 気持ち 見晴らし 祖母 どこ 清潔 清掃 印象
春休みに家族で宿泊しました。こじんまりとしたお宿ですが、非常に清潔感のあるきれいな室内で、周囲も静かでくつろぐことができました。食事も美味しく、布団も自分達の都合でひくことができ、のんびり滞在することができました。,2023-04-09,春休み 家族 宿泊 宿 非常 清潔 感 きれい 室内 周囲 静か 食事 布団 自分 達 都合 滞在
子供と2人で行きましたが、とても良かったです。朝食も夕食もとてもおいしかったです。お風呂は小さめだと思いますが、清潔感があって快適でした。初めて行ったので、戸惑うこともありましたが、全体的に大満足です。箱根に行くときはまた泊まりたいです。,2023-03-31,子供 人 朝食 夕食 小さめ 清潔 感 快適 全体 的 満足 箱根
夫婦二人で利用しました。お部屋は掃除が行き届いていて清潔で快適、お布団はセルフですが、敷いてしまえば自分たちのペース、今の時代に合っていると思います。お茶もお菓子もお水もセットしてあります。お風呂も強羅の源泉で熱々です、湯船は決して大きくはないですがシャワーの水圧も強くすべて快適でした。冷え性の妻は朝までポカポカと言ってました。お料理はこれでもかというくらいの品数！夕食：前菜　お刺身　煮物　焼き物　鍋　他　でお腹いっぱい朝食：温泉卵、のり、わさび漬け他１０品目以上、朝食のお供といえるものが全て出ている感じでした。お味は旅館の濃い味付けでなく家庭の味に近いのが良かったです。ご家族経営でやっていらしゃるので人手が・・・とのことでしたが、手際よく、程よい距離感での対応も良くお話も弾みました。一点だけ気になったのはコンセントです。我が家は延長コード持参で旅するので問題ないですが、場所が部屋の隅1か所とテレビ裏の壁1か所、縁側のポット1か所なので、ゲームやスマホ充電などにはやや不便かもしれません。まぁこれも時代の流れですかね、Wi-Fi環境はバッチリでした。強羅という条件の中では最高のCPで、我が家は大変気に入りました今後も利用させていただきたいと思います。,2023-03-26,夫婦 人 掃除 清潔 快適 布団 セルフ 自分 たち ペース 今 時代 お茶 お菓子 水 セット 強羅 源泉 熱々 湯船 シャワー 水圧 すべて 快適 冷え性 妻 朝 夕食 : 前菜 刺身 煮物 焼き物 鍋 他 お腹 いっぱい 朝食 : 卵 わさび漬け 品目 以上 朝食 お供 全て 感じ 味 旅館 味付け 家庭 味 家族 経営 ゃるので 人手 手際 距離 感 お話 点 気 コンセント 我が家 延長 コード 持参 旅 問題 場所 隅 か所 テレビ 裏 壁 か所 縁側 ポット か所 ゲーム スマホ 充電 不便 時代 流れ Wi - Fi 環境 強羅 条件 最高 CP 我が家 大変 今後
今回家族旅行で利用させていただきました。場所は大涌谷行きのケーブルカー始発、登山鉄道発着駅である強羅駅から徒歩3分と非常にアクセスが良かったです。週末や祝日は海外からの方も多く途中からは乗れないくらいの大混雑だったので、立地的に発着駅なのは凄く良かったです。外風呂はないものの内風呂は加水していない源泉100%の温泉でお肌しっとりの非常に良い湯質でした、部屋数も少ないので混雑もなく貸切な時もありました。部屋もとても綺麗で、布団もふかふかでしたが、特に凄かったのは食事です！品数が多く皆さん写真を撮っていました。また箱根に行く際はリピートさせていただきたいです。,2023-03-21,家族 場所 涌谷 行き ケーブルカー 始発 登山 鉄道 発着 駅 強羅 駅 徒歩 分 非常 アクセス 週末 祝日 海外 途中 混雑 立地 的 発着 駅 外 内風呂 加水 源泉 % 肌 非常 湯 質 数 混雑 貸切 綺麗 布団 食事 皆さん 写真 箱根 際 リピート
お布団敷きや食事の飲み物等はセルフで、その分お値段が家計に優しく嬉しかったです。お部屋もお風呂もお掃除が行き届いていましたが、夕食時にコーヒーサーバーにあったコーヒーを飲もうとしたら、朝だけ提供してるとのこと。朝のコーヒーが夜まで残ってたのか？？？少し不快でした。また、空調を切って休みましたが、朝まで何かしらのファンの音が気になり寝れず、部屋より静かなユニットバスで寝ようかと思った程です。すみませんがまたの利用はないなの宿でした。,2023-03-21,布団 食事 飲み物 等 セルフ 値段 家計 掃除 夕食 コーヒー サーバー コーヒー 朝 提供 朝 コーヒー 夜 ??? 不快 空調 朝 何かしら ファン 音 気 静か ユニット バス 程 宿
大学生2人、朝食付きプランで1泊利用させていただきました。1番良かったのは朝食です。The和食って感じで非常に美味しかったです。他の方が書かれているように少し量が多いかもしれませんが、私たちはちょうどよかったです。お部屋は和室・洋室・和洋室からランダムに選ばれます。私たちは和室でしたが、野郎2人が過ごすには十分な広さで、隅々まで清掃も行き届いていましたので大満足です。カラオケルームも10人以上余裕で入るくらいの広さがあります。2人で熱唱しました(笑)。総じて大満足ですが、強いて懸念点を挙げるならお風呂ですね。温度は温泉らしくしっかり熱めで身体の芯まで温まりましたが、やはり内風呂1つだけというのは少し寂しい気がしてしまいました。場所は強羅駅から徒歩3分と立地の良いホテルです。強羅周辺は彫刻の森美術館、ガラスの森美術館、ポーラ美術館などの箱根の代表的な美術館が集中している他、強羅駅からのケーブルカーのおかげで箱根ロープウェイ乗り場にもすぐ行けるので、観光の拠点としておすすめです。露天風呂はありませんが、観光メインで色々回りたという方には是非おすすめしたいホテルだと思います。,2023-03-20,大学生 人 朝食 付き プラン 泊 番 朝食 The 和食 感じ 非常 他 量 私 たち 和室 洋室 和洋 室 ランダム 私 たち 和室 野郎 人 十分 隅々 清掃 満足 カラオケ ルーム 人 以上 余裕 人 熱唱 ( 笑 )。 満足 懸念 点 温度 熱 め 身体 芯 内風呂 気 場所 強羅 駅 徒歩 分 立地 ホテル 強羅 周辺 彫刻の森 美術館 ガラス 森 美術館 ポーラ 美術館 箱根 代表 的 美術館 集中 他 強羅 駅 ケーブルカー おかげ 箱根 ロープ ウェイ 乗り場 観光 拠点 観光 メイン 是非 ホテル
とても満足しました。広いお風呂ではないけれど、部屋数が少ないので混み合うこともなく、清潔で、とても良いお湯でした。お食事も量、質共に大満足。お部屋もきれいでゆったりしており大人三人でも問題なく過ごせました。唯一、トイレにもタオルが欲しかったです！それ以外はとても満足です。ぜひまた宿泊したい宿です。,2023-03-12,満足 数 清潔 お湯 食事 量 質 共 満足 きれい 大人 三 人 問題 唯一 トイレ タオル 以外 満足 宿泊 宿
娘と二人旅で使わせていただきました。お風呂は大浴場ではありませんが、ほぼ貸切状態であった為、問題はありません。広くて綺麗なお部屋に、見た目に嬉しく美味しい夕食、充実の時間を過ごさせていただきまして、ありがとうございました。また伺いたいと思います。,2022-12-28,娘 人 旅 浴場 貸切 状態 為 問題 綺麗 見た目 夕食 充実 時間
早雲山駅からロープウェイで大涌谷まで行きたかったので利用しました。早雲山駅から当ホテルまでの距離600mほどの激近ホテルです。お部屋のアメニティの充実さは普通。旅館の夕食はどこも多いところばかりですがここはちょうどいい量で良かった。味も美味しかったと思います。お風呂は普通。周りに木が多く景色はあまり楽しめないがそこそこ良い旅館と思いました。,2023-08-21,早雲山 駅 ロープ ウェイ 涌谷 早雲山 駅 ホテル 距離 m 激 ホテル アメニティ 充実 普通 旅館 夕食 どこ 量 味 普通 周り 木 景色 旅館
箱根にあってあの料金なら満足です。すべてにおいて無難で満足してます。大浴場に露天風呂がないのが残念かなあ,2023-08-09,箱根 料金 満足 すべて 無難 満足 浴場 残念
201号室スーペリアツインの部屋33平米に宿泊荷物がおける長いカウンターが便利角部屋なので1枚の窓が他の部屋より多く明るいです朝は朝日が入りますベッドはセミダブルです1段あがったところに小さいユニットバスがあり物は置けません1階にお風呂男女入れ替え露天風呂は一箇所のみ小梅の湯にあります朝は6時からですが少し前でもお湯はあたたかいです2階にレストラン　ロビーがあり食事は近隣のお店から車で持ってきてる感じ量は他の宿にくらべ品数少ないですが私的には丁度良かった宿に送迎してもらうとロビーに直結ですが車の人は駐車場から急坂を1分ほど登るので雨の日　雪の日はきついと思いましたモーニング珈琲がないのでドリップ珈琲持参しました湧き水がでるので美味しく珈琲が飲め至福のひとときでした珈琲持参はおすすめです,2023-07-23,号 室 スーペリアツイン 平米 宿泊 荷物 カウンター 便利 角 枚 窓 他 多く 朝 朝日 ベッド セミ ダブル 段 ユニット バス 物 階 男女 入れ替え 箇所 小梅 湯 朝 前 お湯 階 レストラン ロビー 食事 近隣 店 車 感じ 量 他 宿 私的 宿 送迎 ロビー 直結 車 人 駐車 場 急坂 分 雨 日 雪 日 モーニング 珈琲 ドリップ 珈琲 持参 湧き水 珈琲 至福 ひととき 珈琲 持参
男女4名で利用させて頂きましたその内の一名が誕生日ですと事前に伝えたところ、サプライズでシャンパンのプレゼントがありました料理も接客も良かったです外国人スタッフがテキパキと仕事をこなしていましたお風呂に関しては男女入れ替え制で2つ有り片方は狭いですが、他のお客さんと被る事なく貸切状態でした但し露天風呂が故障していて入れなかってのが残念です台風の余波により早雲山までのケーブルカーしか動いておらず観光出来ませんでしたが、また強羅に訪れたいたと思います小さい宿ですが1人旅2人旅にはお勧めです,2023-06-27,男女 名 内 名 誕生 日 事前 サプライズ シャンパン プレゼント 接客 外国 人 テキパキ 仕事 男女 入れ替え 制 片方 他 お客 事 貸切 状態 故障 残念 台風 余波 早雲山 ケーブルカー 観光 強羅 宿 人 旅 人 旅
源泉掛け流しの美肌に良いという、温泉の温度も42度くらいあり、とても暖かく、体がいつまでも温かく気持ちが良かったです。お食事も和会食で夕食、朝食共に美味しかったです。接客態度も傘を乾かして下さり、感じが良かったです。,2023-04-29,源泉 掛け 流し 美肌 温度 度 体 いつ 気持ち 食事 和 会食 夕食 朝食 共 接客 態度 傘 感じ
全部で10部屋程のこぢんまりしたホテルです。食事の時以外は他のお客さんと接することもなく、お風呂も貸し切り状態でした。露天風呂は、片方しかついていないのですが、木の桶で快適でした。内湯もちょうど良い温度で、ノンビリ入れます。食事も、私たち老人にはちょうど良い量で、朝夕ともおいしかったです。　旅行中に読書を楽しみたい者にとっては、部屋の照明が少し暗いので、読書用の照明があると言うことないです。,2023-04-22,全部 ホテル 食事 以外 他 お客 貸し切り 状態 片方 木 桶 快適 内湯 温度 ビリ 食事 私 たち 老人 量 朝夕 読書 者 照明 読書 用 照明
温泉の泉質がヤバい。施設は保養所がそのままって感じですね。色々経年劣化が激しいですが、温泉にはいりに来たので値段相応で。,2023-04-11,泉 質 ヤバ 施設 保養 所 感じ 経年 劣化 値段 相応
10室ほどの小さなホテルです。フロントの対応は大変親切で丁寧でしたしたが、温泉浴場は狭く少し寒々しさを感じました。箱根大涌谷への観光へは早雲山駅からゴンドラに乗れば数分で着きますのでその点では大変便利なところです。,2023-03-11,室 ホテル フロント 大変 親切 丁寧 浴場 箱根 大 涌谷 観光 早雲山 駅 ゴンドラ 数 分 点 大変 便利
元気な女将さんの気遣いや対応に感謝致します。駅から割と遠いので送迎は助かりました〜ただ全体的に古さを感じました。ルームキーや部屋に空気清浄機が無かったり、スリッパが使い捨てじゃないのは驚きました！お風呂も手狭なので、時間帯によっては4人居たら、満員状態でお湯に浸かる事も出来ません。。,2023-02-28,元気 女将 気遣い 感謝 駅 割 送迎 〜 全体 的 ルーム キー 空気 清浄 機 スリッパ 使い捨て 手狭 時間 帯 人 満員 状態 お湯 事
予約時夫の誕生日と伝えていたら、食事のときに宿から飲み物のプレゼントが…サプライズに感激。旅行中の良い思い出のひとつとなりました。ありがとうございました。,2023-02-19,予約 夫 誕生 日 食事 宿 飲み物 プレゼント サプライズ 感激 思い出 ひとつ
にごり湯が良かった。夕・朝食ともに量がちょうどよかった。こじんまりして夫婦二人やカップルが多く静かにのんびり過ごす宿という感じ。大涌谷が近く硫黄の香り漂う、湯本付近とは一味違う宿。ありがとうございました。,2023-02-15,湯 夕 朝食 とも 量 夫婦 人 カップル 静か 宿 感じ 涌谷 近く 硫黄 香り 湯本 付近 宿
記念日で伺いました。いろいろお気遣いいただきありがとうございました。こじんまりした宿ですが、非常に気配りが効いた宿です。夕食、朝食ともちょうど良い量でした。また味は満足いくものです。壁掛けテレビがもう少し低い位置であれば見やすいと思います。暖炉もよかったです。,2023-02-13,記念 日 宿 非常 気配り 宿 夕食 朝食 量 味 満足 壁掛け テレビ 位置 暖炉
露天風呂は浴槽が２つあるとホームページ記載されていたが、深い浴槽にはお湯が張られておらず、受付の際にその旨の事前の説明も無かった。露天風呂のある内風呂は厳選かけ流しであるにも関わらずぬるく身体が温まらなかった。食事は鍋のお肉が皿に盛られていたが、乾燥していて皿にくっ付いていて剥がすのに苦労した。刺身も乾燥していて見た目にも美味しそうには感じなかった。せめてラップや紙を被せる等の気遣いが欲しかった。また食事処はファンヒーターはついていたが浴衣では寒かった。温泉と暖炉のあるホテルと謳っているにも関わらず、暖炉に火は入っておらずラウンジは寒かった。１万円以下で泊まれる宿とのフレーズではあるが、ホームページにあるような内容は期待しない方がいい。,2023-02-02,浴槽 ホームページ 記載 浴槽 お湯 受付 際 旨 事前 説明 内風呂 厳選 流し 身体 食事 鍋 皿 乾燥 皿 苦労 刺身 乾燥 見た目 ラップ 紙 等 気遣い 食事 処 ファン ヒーター 浴衣 暖炉 ホテル 暖炉 火 ラウンジ 万 円 宿 フレーズ ホームページ 内容 期待
団体、朝食付きで利用しましたが、朝食が豪華で美味しかったです。温泉は、内湯が緩かったのが残念でしたが、露天風呂風呂もあり、露天風呂はあったまりました。2階の部屋でしたが、箱根の山が見える景色は癒されて、早雲山駅の近くでアクセスも良く、静かな環境も良いです。この値段で泊まれる箱根の宿はあまり無く、コストパフォーマンスの高いお宿だと思いました。次回は夕食付きでまた利用したいです。,2023-01-16,団体 朝食 付き 朝食 豪華 内湯 残念 階 箱根 山 景色 早雲山 駅 近く アクセス 静か 環境 値段 箱根 宿 コストパフォーマンス 宿 次回 夕食 付き
到着が予定より遅くなり暗くなっていましたが、旅館のすぐ前がバス停でしたので迷うことなく到着できました。食事は夕食朝食ともTHE旅館というふつうの感じで美味しかったです。あまり量が食べられないので少なくしてほしい等のリクエストをしましたが気持ちよく対応いただき家庭的な良い旅館でした。お風呂は小さかったですが旅館の規模が小さいので妥当だと思いました。温泉の感触がとても気持ちよかったです。卓球台があり懐かしく（既に大人の）子供と童心に戻って楽しみました。料金は通常よりかなり高くなっていましたが年末年始なのでそこは仕方ないと思いました。翌朝駅伝観戦のために早く出発したかったのですが箱根の交通機関は8時過ぎに動き出すとのことでそこだけが計算外でした。早く出かけたいと考えている方はあらかじめよく調べていくことをおすすめします。,2023-01-09,到着 予定 旅館 前 バス停 到着 食事 夕食 朝食 THE 旅館 ふつう 感じ あまり 量 等 リクエスト いただき 家庭 的 旅館 旅館 規模 妥当 感触 卓球 台 ( 大人 ) 子供 童心 料金 通常 かなり 年末年始 そこ 仕方 翌朝 駅伝 観戦 出発 箱根 交通 機関 過ぎ そこ 計算 外
源泉掛け流しの宿で探してたどりつきました。お風呂は男女入れ換えの２ヶ所です。どちらともほんとにいいお湯でした。帰りに駅まで送っていただきました。大阪からですが、また泊まりたいと感じましたとお伝えしました。実際また春に予約しました。食事につきましては、悪い評価をつけるところはありませんが、お値段なりです。客室の冷蔵庫にわき水が冷やしてありました。とても美味しかったです。夜に階段で2階に昇ったところの天井がガラスばりなんですが、CGじゃないのかと思える満天の星が見えました。そして早朝目覚めてカーテンを開けたらちょうど朝日が見えてこちらも感動しました。,2023-01-07,源泉 掛け 流し 宿 男女 どちら お湯 帰り 駅 大阪 お伝え 春 予約 食事 評価 値段 客室 冷蔵庫 わき水 夜 階段 階 天井 ガラス ばり CG 満天 星 早朝 カーテン 朝日 感動
箱根ひとり旅で宿泊しました。広いお部屋でのんびりと過ごせました。食事も丁寧で量もちょうど良かったです。ステンドグラスのお風呂がにごり湯でなかったのが残念でしたが、次回，箱根に来た際は宿泊したいと思いました。,2022-12-20,"箱根 ひとり 旅 宿泊 食事 丁寧 量 ステンドグラス 湯 残念 次回 , 箱根 際 宿泊"
食事は品数が多く量も申し分有りません。味は美味しいのですが特にこれと言った物はありませんでした。お風呂は狭いです。露天のある方の内風呂はぬるく、露天もかつて露天でしたといった作りで浴槽も2つの内1つしかお湯がはってありませんでした。お肌はツルツルになった気がします。部屋は和室を洋室にリフォームしたような作りでした。掃除はきちんとされておりました。特に良いところ悪いところのない宿という印象です。,2022-12-19,食事 多く 量 申し分 味 物 露天 内風呂 露天 露天 作り 浴槽 内 お湯 肌 気 和室 洋室 リフォーム 作り 掃除 宿 印象
一泊２日でこちらの宿を利用しました。こじんまりとしたお宿でしたが部屋はもちろん建物内も清潔で、とても気持ちよく過ごせました。館内も静かで、ゆっくり過ごしたい方にはもってこいなお宿だと思います。夕食、朝食共に量がちょうどよく、ご飯と味噌汁がおかわり自由でとても嬉しかったです。露天風呂は野外ではなかったですがステンドグラスが壁にあり、雰囲気よかったです◎また接客面も女将さん、スタッフの方も最初から最後まで愛想良くとても気分が良かったです。,2022-12-13,泊 日 宿 宿 建物 内 清潔 館内 静か もってこい 宿 夕食 朝食 共 量 ご飯 味噌汁 かわり 自由 野外 ステンドグラス 壁 雰囲気 接客 面 女将 最初 最後 愛想 気分
恋人との旅行で利用しました。部屋食のプランでしたが食事の量も質も大変満足のいくものでした。また、用意をしてくださる宿の方の対応も素晴らしかったです。設備は少し年季が入っている感じはしますが、清掃が行き届いているため清潔感があり、気になることはありません。ただ、お風呂についてはやや狭く、混雑時には利用を諦めなければならない点が少し残念でした。あまり大きな宿ではありませんが、その分騒がしさがない為、落ち着いた雰囲気の中でのんびりと過ごすことが出来ると思います。,2022-11-25,恋人 食 プラン 食事 量 質 大変 満足 用意 宿 設備 年季 感じ 清掃 清潔 感 気 混雑 点 残念 宿 為 雰囲気
たまたまなのか大人の方ば2組ばかりの宿泊者さんばかりだったので。とても静かで落ち着いて過ごす事ができました。外国人のスタッフさんもとても丁寧な接客で好感がもてました。アメニティにクシやブラシが無かったのが残念でしたが。あとは良かったです,2022-11-22,大人 組 宿泊 者 静か 事 外国 人 丁寧 接客 好感 アメニティ クシ ブラシ 残念 あと
気になっていたお宿でやっと宿泊できました。宿泊人数が少ないので静かでゆっくり出来､食事も美味しく頂きました。温泉は3人入るといっぱいになり洗い場も4つしかないので時間をずらして入ればゆっくり入れますが､ぬるめなのでなかなかあたたまりません。熱めが好きな人にはオススメできませんが源泉掛け流しなのでほんのり硫黄の匂いがします。　最小限のアメニティやドライヤーはあります。帰りは女将さんが強羅駅まで送ってくれました。宿の目の前からも本数は少ないようですが、小田原駅までバスがあるようです。早雲山駅に近く大涌谷に行くにはとても便利でした。,2022-11-20,気 宿 宿泊 宿泊 人数 静か 出来 ､ 食事 人 洗い場 時間 ､ 熱 め 好き 人 オススメ 源泉 掛け 流し 硫黄 匂い 最小限 アメニティ ドライヤー 帰り 女将 強羅 駅 宿 目 前 本数 小田原 駅 バス 早雲山 駅 近く 涌谷 便利
ホテルというか、会社の保養所といった風情ですが、館内、部屋はとてもきれいでした。部屋にアメニティがないのですが、パウダールームがありそちらに置いてありました。専用のパウダールームとは、なんだか珍しく感じました。風呂は露天は一つなので時間によっては入れません（男女入れ替え制）。ただし露天と言っても周囲は壁、天井もあるのでほぼ露天ではないかなという印象。ステンドグラス調の窓？がなかなか雰囲気があります。風呂はかけ流しで良かったですが、白濁はしてませんでした。しかし、朝なぜか露天があるほうの内湯だけがにごり湯になっていました。どれも同じ泉質のはずなのに不思議ですが、色々な条件があるのでしょうか。接客はコロナの影響もあるのか必要最低限。でもチェックイン、チェックアウト時どちらもスタッフさんはとても感じの良いかたでした。館内にはお酒の自販機が無いので飲む方は要注意です。どれも平均的な印象ですが、素泊りにしてはやや高めかも？清潔感があるのがとても良かったです。,2022-10-10,ホテル 会社 保養 所 風情 館内 きれい アメニティ パウダー ルーム そちら 専用 パウダー ルーム 露天 時間 ( 男女 入れ替え 制 )。 露天 周囲 壁 天井 露天 印象 ステンドグラス 調 窓 ? 雰囲気 白濁 朝 露天 ほう 内湯 湯 泉 質 はず 不思議 色々 条件 接客 コロナ 影響 必要 最低限 チェックイン チェック アウト どちら 感じ かた 館内 酒 自販機 要注意 平均 的 印象 素泊り 高め ? 清潔 感
10部屋と少ないせいかご飯が丁寧に料理されています。夕飯も朝食も数多いおかずがそれぞれ美味しく作られております。スタッフの方々も丁寧でとても好感が持てます。立地条件もよく宿の前からバスで小田原駅まで直通があり便利です。,2022-10-02,せい ご飯 丁寧 夕飯 朝食 おかず 方々 丁寧 好感 立地 条件 宿 前 バス 小田原 駅 直通 便利
家族３名で泊まりました。御殿場アウトレットを終わりまでいて来ました。荷物たくさんありましたが、かごに乗せてもらい運んでくれて助かりました。部屋は、それほど広くはなかったですが、室内にちょっとした階段がありレイアウト的に洒落た感じです。わたしは、エキストラベットに寝ましたが、普通のベットとあまり変わらず寝れました。ちょうど女子プロゴルフ大会初日で、スタート前の様子が部屋のベランダから目の前で見れたのは、よかったです。朝食は、クロワッサンがおいしいと口コミに書いてあり期待していましたが、口コミ通りパンだけでなく全部が非常に美味しかったです。やはりハイクラスホテルとしてのレベルの高さを感じます。オレンジジュースやコーヒー、紅茶、クロワッサンもお代わりできよかったです。翌日は、キリンの工場見学や富士山の北側をまわり帰りました。また家族で着て、朝のゴルフ場散歩をしたいと思います。ありがとうございました。,2023-08-19,家族 名 御殿場 アウトレット 荷物 たくさん かご 室内 階段 レイアウト 的 感じ わたし エキストラ ベット 普通 ベット 女子 プロ ゴルフ 大会 初日 スタート 前 様子 ベランダ 目 前 朝食 クロワッサン 口コミ 期待 口コミ 通り 全部 非常 ハイクラス ホテル レベル オレンジ ジュース コーヒー 紅茶 クロワッサン 代わり 翌日 キリン 工場 見学 富士山 北側 まわり 家族 朝 ゴルフ 場 散歩
