口コミ,投稿日,preprocessed_text
露天風呂付きのお部屋を利用しました。お部屋も綺麗で露天風呂に入りながらとてもゆっくりでしました！食事も朝・夕と頂きました。美味しいお肉、お魚がおかわり自由だったので嬉しかったです！小皿に並べる前菜も可愛く思わず写真撮ってしまいました。スタッフの方の対応も丁寧でとてもよい気持ちになりました。１つだけ、気になったのは、、連泊したんですがお部屋のお掃除の際、使用したコップも片付けていただきたかったなと思いました。気になったのはそれくらいでそのあとの清掃はとても綺麗にしていただいたのでありがたかったです。是非、また利用したいです(^^),2019-03-02,付き 綺麗 食事 朝 夕 魚 かわり 自由 小皿 前菜 写真 丁寧 気持ち 気 連 泊 掃除 際 使用 コップ 気 あと 清掃 綺麗 是非 (^^)
全て星５つにしたかったのですが、朝食の時に混み過ぎて中々お目当ての食べ物を取るのに時間がかかってしまったので、朝食だけ星4つにしちゃってます。あの有名な景色はもちろんのこと、館内も清潔感溢れていてお部屋も素敵でした。ご飯も全て美味しかったです。温泉も最高でした。寝湯も景色も良くて気持ち良く入れました。ウェルカムドリンクも種類があって良かったです。ホテルの方々の対応も大変素晴らしく、また利用したいと心から思いました。自分の周りの人達にも、箱根旅行の時は絶対はなをりに泊まって！ってオススメしちゃうと思います。笑,2019-02-28,全て 星 朝食 目当て 食べ物 時間 朝食 星 有名 景色 館内 清潔 感 素敵 ご飯 全て 最高 湯 景色 ウェルカムドリンク 種類 ホテル 方々 大変 自分 周り 人達 箱根 絶対 なを オススメ 笑
素敵なお宿で、スタッフの対応も文句なし！平日だったので、そこまでバイキングも混まずにゆっくり食事ができました。お料理が本当に美味しくて、大満足です！娘と2人旅でしたが、素敵な時間を過ごすことができました。また利用したいと思います。,2019-02-28,素敵 宿 文句 平日 そこ バイキング 食事 満足 娘 人 旅 素敵 時間
"還暦祝いで伺いましたが、赤いちゃんちゃんこも貸して頂き良かったです。行きは小田原から送迎バスを使ったので楽に移動できました。朝夜ともに、子供用の紙エプロンを用意して下さいましたが、すぐ切ってしまったので、ビニールなら、なお嬉しかったです。部屋付き露天はやはりいつでも入れてよかったです。子供が入るので、あらかじめ温度も少し低めに設定してもらいました。温度調節何度でも可能なのが嬉しいです。メインはステーキ、金目鯛の西京焼きで何度もお代わり自由なのにはビックリしました。ビュッフェ形式の宿にあまり泊まったことがなかったので、美味しくなかったら嫌だなと思っていました。ですが、目で見ても楽しく、たくさん食べる人は良いかもしれませんね。朝ごはんのジューサーが私は嬉しかったです。パイナップル、トマト、紫キャベツ？意外にももっとあると尚良しかなと。部屋付き露天で土日で26,000円くらいだったので安いですね！",2019-02-27,"還暦 祝い ちゃんちゃんこ 行き 小田原 送迎 バス 楽 移動 朝 夜 子供 用 紙 エプロン 用意 ビニール 付き 露天 いつ 子供 温度 低め 設定 温度 調節 度 可能 メイン ステーキ 金目 鯛 西京 焼き 度 代わり 自由 ビックリ 形式 宿 嫌 目 たくさん 人 朝 ごはん ジューサー 私 パイナップル トマト 紫 キャベツ ? 意外 付き 露天 土日 , 円"
夕食のビュッフェは前菜が小さいお皿でたくさんの種類が用意されていて、それらをひとつひとつ選ぶ方式が新しかったし、味もとても美味しかった。施設もキレイだし、なによりスタッフのホスピタリティが素晴らしくて、ここはまだ子供たちとも行きたいと思いました。部屋風呂があるタイプを選びましたが、湯船が少し小さめなのと、外を歩く人や走る車が近くに見えてしまうので、もう少し目隠しに工夫があると良かったです。大浴場にあるダイソンのドライヤーが試してみたかったものだったので、すごく嬉しかった。帰宅後即購入しました。こういった、適当なドライヤーを置いておかないところも素晴らしいサービスだと思いました。,2019-02-24,夕食 前菜 皿 たくさん 種類 用意 それら ひとつひとつ 方式 味 施設 キレイ ホスピタリティ 子供 たち タイプ 湯船 小さめ 外 人 車 近く 目隠し 工夫 浴場 ダイソン ドライヤー 帰宅 後 購入 適当 ドライヤー サービス
施設は新しい事もあり気持ちよく過ごせました。早目に着いたので足湯に入ったりのんびりと、その後桃源台まで散歩して来ました。前日予約でしたので低層階ツインの露天風呂付のお部屋狭いです。予約時わかっていたのですが大浴場、食事処はかなり遠かったです。バイキング形式はあまり好きではないのですが一度は止まりたく行きました。お部屋の露天風呂は（温泉ではないとの事）一人用の大きさでしたが足が延ばせて気持ちよく入りました。大浴場、食事（バイキング形式が好きな方）は大変良かったと思います。喫煙者にとってはあと2か所くらい喫煙箇所があればと思いました。スタッフの方は皆感じが良く最初から最後まで気持ち良く過ごせました。ありえないと思いますがバイキング形式以外に懐石料理のコースがあったら最高です。,2019-02-24,施設 事 早 目 足湯 その後 桃源 台 散歩 前日 予約 低層 階 ツイン 付 予約 浴場 食事 処 バイキング 形式 好き 度 ( 事 ) 人 用 足 浴場 食事 ( バイキング 形式 好き ) 大変 喫煙 者 あと か所 喫煙 箇所 皆 感じ 最初 最後 バイキング 形式 以外 懐石 コース 最高
恋人と一泊で利用しました。桃源台駅からすぐでとても横に長い建物でした。フロントに行くまでの道もとても素敵でした。ホテル内はお部屋含め、とても綺麗で清潔感たっぷりでした。部屋の露天風呂も風情があって素敵でしたが、底の部分のザラつきで足が痛かったです笑(汚れとかではなく、浴槽の素材)お食事もたのしみにしていたビュッフェで美味しかったです。お箸を落とした際もすぐに気づき替えを持ってきて頂き、気配りもとても優れていて嬉しかったです。また利用したいです！！,2019-02-24,恋人 泊 桃源 台 駅 横 建物 フロント 道 素敵 ホテル 内 綺麗 清潔 感 たっぷり 風情 素敵 底 部分 ザラ 足 笑 ( 汚れ 浴槽 素材 ) 食事 箸 際 替え 気配り !!
  一番楽しみにしていたお風呂の景観は、内風呂は仕方ないにしても露天風呂からも立ち上がらなければ湖が見えずに残念でした。しかし建物すべてがキレイで気持ちがいいです。食事も美味しくいただきました。もっと海鮮物があればなおサイコーだと思います。,2019-02-23,一番 楽しみ 景観 内風呂 仕方 湖 残念 建物 すべて キレイ 気持ち 食事 海鮮 物 サイコー
友達と2人で宿泊しました。ホテルが出来たばかりでとても綺麗でした。受付の方の対応がとてもよかったです。朝、夜のバイキングどちらともとても美味しかったです。お風呂はダイソンのドライヤーとスチーマーがあり驚きました。ただ部屋にドライヤーが１つあると便利だなと思いました。とてもいいホテルだったのでまた利用したいなと思いました！,2019-02-20,友達 人 宿泊 ホテル 綺麗 受付 朝 夜 バイキング どちら ダイソン ドライヤー スチーマー ドライヤー 便利 ホテル
コマーシャルでとても気になっていたので母との旅行に利用させて頂きました。ホテルの方は素晴らしい接客でゆっくりとできました。普段あまり多く食事をしない母がお腹いっぱいになるくらい食べてました。とても美味しかったです。;また時期をみて訪れたい宿の一つとなりました  お風呂のロッカーのたてつけが悪いところがありそこだけが気になりました,2019-02-20,コマーシャル 気 母 ホテル 接客 普段 あまり 食事 母 お腹 いっぱい ; 時期 宿 ロッカー たて つけ そこ 気
施設は新しくどこもきれいでした。スタッフさん達の対応も良く、大きな宿ですのでチェックインも混みあっていたのですが素早い対応をされていました。ただ、ビュッフェ形式の食事の時、お皿やトレー、コーヒーカップ、スプーンなどの汚れがすごく気になりました。。。かなりの人数が一同に食事するので、かなりガヤガヤと賑やかな雰囲気ですのでゆったり食事をしたい方にはあまりオススメしません。温泉も時間帯(17:00頃)が悪かったのか、ぬるくて早々に切り上げました。施設がすごくいいだけに残念なポイントが目についたのかもしれません。,2019-02-19,施設 どこ きれい 達 宿 チェックイン 形式 食事 皿 トレー コーヒー カップ スプーン 汚れ 気 かなり 人数 一同 食事 ガヤガヤ 賑やか 雰囲気 食事 オススメ 時間 帯 ( : 頃 ) 施設 残念 ポイント 目
女友達と4人で行きました。館内は広かったです。口コミにバイキングは夕食、朝食は美味しかったです。種類も沢山ありました。今まで！色々なホテルのバイキングを食べましたがこちらのはなをりさんが一番美味しかったです。次は母親を連れて行ってあげたいです。,2019-02-19,友達 人 館内 口コミ バイキング 夕食 朝食 種類 今 色々 ホテル バイキング はな りさ 一番 次 母親
新しく綺麗な施設です。お風呂は満足です。ビュッフェスタイルの食事で、子供連れが多くせわしなさが残念でした。,2019-02-17,綺麗 施設 満足 スタイル 食事 子供 連れ せわしなさ 残念
はなおりは綺麗し静かでとても素敵なところでそた。芦ノ湖のちょうど前で窓側から芦ノ湖を見られるのが幸せでした。駅から近くにあるのもとても便利です。夏になるとまた行きたいと思います。,2019-02-17,綺 静か 素敵 そ 芦ノ湖 前 窓側 芦ノ湖 幸せ 駅 近く 便利 夏
車で到着した際の、案内の方がとても丁寧で嬉しかったです。が、チェックインした際にもう一部屋予約してあると言われました。そんなはずないと、じゃらんの予約画面を見てお伝えしましたが、「いや、違う予約番号で2部屋予約入ってます。」と、結構強い口調で言われました。仕方がないので謝罪し、キャンセル料は取らないとのことでほっとましたが、気になったのでじゃらんに問い合わせたところ、やっぱり宿側のミスでした。その後特になんの連絡もなく、チェックアウトの際もなんの謝罪もありませんでした。食事は美味しかったし、お部屋の位置のお願いも聞いていただいてありがたかったのですが、その一点で全て帳消しにしてしまうほど残念でした,2019-02-16,車 到着 際 案内 丁寧 チェックイン 際 予約 はず らん 予約 画面 お伝え 予約 番号 予約 口調 仕方 謝罪 キャンセル 料 気 らん 宿 側 ミス その後 なん 連絡 チェック アウト 際 なん 謝罪 食事 位置 お願い 点 全て 帳消し 残念
何度か利用させていただいており、私の中では、温泉旅行=はなをりさんです。小田原から送迎バスがあるのがとても有り難いです。また、いつお伺いしてもご飯がとにかくおいしい！彩りも良く、どれも美味しいです！焼きたてのお魚とお肉も 最高です！バスタオルが大浴場にあるため、部屋から持っていかなくてもいいのも素敵です。,2019-02-14,度 私 = なを りさ 小田原 送迎 バス いつお 伺い ご飯 彩り 焼き たて 魚 最高 バス タオル 浴場 素敵
はじめての箱根旅行。海賊船やロープウェイ乗り場にも近く立地もよかった。何より朝夕のビュッフェに大満足！豊富な品数と小鉢を自分でチョイスしてお花籠膳に。,2019-02-11,箱根 海賊 船 ロープ ウェイ 乗り場 近く 立地 朝夕 満足 豊富 小鉢 自分 チョイス 花 籠 膳
二度目使わせていただきました。建物も部屋も綺麗でした。夕食は以前より質が上がってる気がします。ステーキにお魚が食べ放題ですし、和食をベースに身体に良い食事をバイキングで楽しめるのはありがたかったです！お風呂も男性は混み合うことなく利用できますし、バスタオルも入るたびに新しいものを準備してくださり、濡れたタオルで体を拭くこともなく、お風呂を出たところには冷たいお茶も用意されていて細かなサービスが充実しています。お値段も安く部屋に露天風呂がついた部屋の提供もあり、また使わせていただきます。スタッフの方々も丁寧な接客で、すれ違う時は必ず挨拶もしてくださいます。,2019-02-11,度目 建物 綺麗 夕食 以前 質 気 ステーキ 魚 放題 和食 ベース 身体 食事 バイキング 男性 バス タオル たび 準備 くだ タオル 体 お茶 用意 細か サービス 充実 値段 提供 方々 丁寧 接客 挨拶
冬の箱根は初めてで雪の心配もありましたが、晴天にも恵まれ、今やCMでも放映されているはなをりさんにも宿泊でき、最高な家族旅行となりました。子連れ旅行ということで、夫婦と2歳の子どもという家族構成で利用しましたが、お部屋の広さも十分でした。また、今回貸切風呂も利用させていただきましたが、設備もよく、大変満足でした。食事は、朝食のメニューが少々物足りないかな…とも感じましたが、夜・朝ともに美味しくいただきました。ひとつ気になったのが、季節柄なのか外国のお客さんが大変多く、ここは日本だけれども外国なのかと思うほど外国語であふれていました。その外国のお客さんの一部が大浴場でオムツの外れていない子を風呂にいれていたのを見て、やはりルールは守ってほしいなと感じました。守っている人たちからすると不愉快ですのでそういったことを徹底していただきたいです。,2019-02-10,冬 箱根 雪 心配 晴天 CM 放映 はな 宿泊 最高 家族 子連れ 夫婦 歳 子ども 家族 構成 十分 貸切 設備 大変 満足 食事 朝食 メニュー 夜 朝 ひとつ 気 季節 柄 外国 お客 大変 日本 外国 外国 語 外国 お客 一部 浴場 オムツ 子 ルール 人 たち 不愉快 徹底
今回夫婦で訪問させていただきました。今回の旅行動機はＴＶで紹介されていて大変良さそうな感じがしたので即予約をしました。食事は夕朝ビュッフェ式でしたが品数は多くおいしかったです。夕食時は超人気宿ということもあり人が多くバタバタしておりましたが、個人的には朝食の方がゆっくり食事を堪能出来て大変満足でした。特にビックリしたのが、風呂にはDysonのドライヤーが設置してありましたし、部屋にも加湿器も設置してありその他施設も含め顧客First感を感じました。関東方面の天気の心配がありましたが、チェックイン時には帰路時の天気の心配もしていただきサービス面も非常に好印象でした。是非また行きたいと思う宿でした。,2019-02-10,夫婦 訪問 動機 TV 紹介 大変 感じ 予約 食事 夕 朝 式 多く 夕食 人気 宿 人 個人 的 朝食 食事 堪能 大変 満足 ビックリ Dyson ドライヤー 設置 加湿 器 設置 その他 施設 顧客 First 感 関東 方面 天気 心配 チェックイン 帰路 天気 心配 サービス 面 非常 印象 宿
初めて利用させて頂きました！トータル的には満足なお宿でしたが改善していただけるともっと良いなと思ったので投稿させて頂きます。・自販機でのお酒の販売をして頂けると嬉しい！・お部屋の洗面所が暗く、少し狭いので貸し出しの鏡などあると化粧しやすい・大浴場に黒豆茶がありましたが、一緒にお水もあると尚良いと思いました！些細な事ですが、ご確認いただけますと幸いです！,2019-12-17,トータル 的 満足 宿 改善 投稿 自販機 酒 販売 洗面 所 貸し出し 鏡 化粧 浴場 黒豆 茶 一緒 水 些細 事 確認 幸い
今回利用した目的は、妻の誕生日で箱根の良い旅館で祝いたいと思い利用させて頂きました。良かった点は、外観と内観共に風情があって、雰囲気を楽しむことができたこと、接客（特に1人服の違う方）がとても良かったこと、客室露天風呂の大きさ雰囲気が良く、客室に露天風呂と通常の風呂2つあるのはとても良かったです。浴衣も好きな数好きな物を選ぶことができ素晴らしかったです。マッサージチェアが無料で複数台あるのもこれまた素晴らしい…全体的に満足できたのですがマイナス面も挙げさせて頂くと、入口にあったフリードリンク（ビネガー等）最初はあったのですが、夕食事後以降、朝もなぜかなくなっていたこと、風呂のシャワーが水圧が強くて良いかと思ったのですが水量が少なすぎて顔に当てると刺さるように痛かったこと、料理の説明が少し雑だったこと位でしょうか。,2019-12-08,目的 妻 誕生 日 箱根 旅館 点 外観 内観 共 風情 雰囲気 接客 ( 人 服 ) 客室 雰囲気 客室 通常 浴衣 好き 数 好き 物 マッサージ チェア 無料 複数 台 全体 的 満足 マイナス 面 入口 フリー ドリンク ( ビネガー 等 ) 最初 夕 食事 後 以降 朝 シャワー 水圧 水量 顔 説明 雑 位
クーポンを利用して、一人で利用しました。雨の箱根は平日で静かで落ち着いていて、紅葉も色濃く見えてよかったです。こじんまりとした旅館。一人で１万円前後で食事付きでなら最高。熱海や土肥の系列グループを何度か利用したけど、一番居心地よく感じました。ゆっくりできた。お部屋はフロントの横で何かと便利でした。自由にコーヒーがいつでも飲めるのと、美味しいケーキが売店にあるのがうれしい。温泉の温度があついのが好み。何度も内風呂に入りました。スタイリッシュなお風呂よりも、昔の旅館風の岩のお風呂は落ち着きます。ほぼ独り占めでした。貸し切り露天風呂もよかったです。時計がないので、つけてください。食事はすべて美味しく、お酒と一緒にいただいて幸せでした。夕食の食事場所は一人利用の場合は、朝食場所のように少し仕切りのあるところで食べられるといいですね。視線が少し気になりました。スタッフの皆さんも温かく、丁寧な対応。また利用したいと思いました。,2019-12-01,クーポン 人 雨 箱根 平日 静か 紅葉 旅館 人 万 円 前後 食事 付き 最高 熱海 土肥 系列 グループ 度 一番 居心地 フロント 横 便利 自由 コーヒー いつ 売店 温度 好み 度 内風呂 スタイリッシュ 昔 旅館 風 岩 独り占め 貸し切り 時計 食事 すべて 酒 一緒 幸せ 夕食 食事 場所 人 場合 朝食 場所 仕切り 視線 気 皆さん 丁寧
仕事が終わってからのチェックインで到着も遅くなってしまいましたが快く対応してくださいました。部屋からも紅葉が見てえ、お風呂も良かったです。露天風呂から見る満月は最高でした。朝食も少な過ぎず多すぎすでした。外国の方が多く宿泊されていると事前に言われましたがうるさい事もなく静かに過ごせました。チェックアウト後に忘れ物に気が付き電話をした所、直ぐに対応してくれて次の日には自宅に届きました。迅速な対応ありがとうございます。機会があればまた泊まりたいです。ショーケースに入っていたケーキが美味しそうでした。,2019-11-14,仕事 チェックイン 到着 紅葉 満月 最高 朝食 外国 宿泊 事前 事 静か チェック アウト 後 忘れ物 電話 所 次 日 自宅 迅速 機会 ショーケース
当日は箱根の被害があり源泉が出ない形であった。前もって連絡があり料理のグレードアップをしてくれる連絡でした。しかし当日の夕食時などに何をどうグレードアップしたのかの説明がなかったので本当にグレードアップしてたのか疑問。あとはメインの肉の出し忘れがあり、スタッフに言うと対応はすぐしてくれたがアフターケアがなさすぎる。ベストをした責任者の人がいたのにも関わらずその人からの謝罪もなし。不満に思ったのは以上。,2019-10-31,当日 箱根 被害 源泉 形 連絡 グレード アップ 連絡 当日 夕食 グレード アップ 説明 グレード アップ 疑問 あと メイン 出し アフターケア ベスト 責任 者 人 人 謝罪 不満 以上
箱根の中ではリーズナブルな宿でしたが、食事がとても美味しい。貸し切り露天風呂は気持ち良いし、ゆっくり出来ました。ありがとうございました。とても良い宿だと思います。部屋にdocomo電波が弱く、かつ宿のWi-Fiが部屋の中に届いていないので、これを改善していただけたらもっと良いです。また、伺いたいと思います。,2019-10-06,箱根 リーズナブル 宿 食事 貸し切り 宿 docomo 電波 宿 Wi - Fi 改善
母との二人旅で初めての箱根旅行だったので色々困ることも多くありましたが、駅からの送迎やフロントでの対応などスタッフの方々の温かい対応で、とても安心して行動することができました。さらに金木犀の花の香りを楽しみながら入る貸切露天風呂は最高でした。お料理も美味しかったです。また箱根に行くことがあればぜひ利用したいです。,2019-10-03,母 人 旅 箱根 駅 送迎 フロント 方々 安心 行動 金木犀 花 香り 貸切 最高 箱根
以前、日帰り温泉で利用した際に旅館の雰囲気が良くて次は宿泊したいと思い、今回利用させていただきました。夕食・朝食どちらともとても美味しく、量もちょうどよく大満足でした。朝食の豚汁はお味噌も好みのものを選べるのがすごく良かったです。また、帰りのシャトルバスの予約がうまくできていなくて次の時間の便になってしまいロビーで待っていたら、スタッフの方が声をかけてくださり、特別に対応してくださりました。車中でも箱根の観光のことなど親切に教えてくださり、そのおかげで次の予定がスムーズに行き、箱根を楽しむことが出来ました。すごく感謝です。友達や家族にも勧めたいし、箱根旅行のときにはまたぜひ利用したいなと思います！,2019-09-28,以前 日帰り 際 旅館 雰囲気 次 宿泊 夕食 朝食 どちら 量 満足 朝食 豚汁 味噌 好み 帰り シャトル バス 予約 次 時間 便 ロビー 声 くだ 特別 くだ 車中 箱根 観光 親切 くだ おかげ 次 予定 スムーズ 箱根 感謝 友達 家族 箱根
当日予約でしたが、対応も良く満足です。大きな宿で、連休中日でしたが、お風呂も混む事無くゆっくり休養できました！貸切露天風呂が気持ち良かったです。,2019-09-25,当日 予約 満足 宿 連休 中日 事 休養 貸切
母子旅行で三連休明けの平日に利用しました。口コミの中に評価の低いコメントもあってやや心配でしたが、お出迎えからフロントの方の対応もとても丁寧でした。お部屋の空きがあったからと無料でグレードアップしていただき、子どもも思う存分動き回れて自分ものんびりくつろげて良かったです。貸切露天風呂はお食事の時間前後は賑やかになるとのことだったので一番最初の時間に利用しましたが、静かでのんびりできました。やや手狭な印象でしたが、子どもと2人だったので私達にはちょうど良かったです。レストランでは子ども用の椅子を準備してくれたり離乳食の温めもしていただけて助かりました。半個室の方の椅子に小さい虫が転がっていたり前の利用者の髪の毛が落ちていたのだけ、ちょっと気になりました。どの場面でもスタッフの皆さんが子どもに声をかけてくれたり気遣っていただけて嬉しかったです。帰りにお土産までいただいて、とても楽しい旅行になりました。ありがとうございました。,2019-09-19,母子 三 連休 明け 平日 口コミ 評価 コメント 心配 出迎え フロント 丁寧 空き 無料 グレード アップ 子ども 動き 自分 貸切 食事 時間 前後 賑やか 一番 最初 時間 静か 手狭 印象 子ども 人 私 達 レストラン 子ども 用 椅子 準備 離乳食 個室 椅子 虫 前 者 髪の毛 気 場面 皆さん 子ども 声 帰り 土産
フロントのスタッフさんの接客がとても良かった！！お料理も美味しかった！細やかな気配りがとても良かった！また利用したいです,2019-09-19,フロント 接客 !! 細やか 気配り
宿泊費に比べてかなり広く綺麗な部屋でびっくりしました。ただ部屋備え付けの露天風呂で体が洗う事を禁止されているにも関わらずアメニティが露天風呂の直ぐ横に置いてあるのは場所が違うのでは？と個人的に思いました,2019-09-18,宿泊 費 綺麗 びっくり 備え付け 体 事 禁止 アメニティ 横 場所 ? 個人 的
彼氏と利用。家族風呂がこじんまりとしていて良かった、居室、浴室全体的に清潔感があります。食事も美味しかったです。また利用したいです！,2019-09-01,彼氏 家族 居室 浴室 全体 的 清潔 感 食事
少し駅からは離れていますが、雰囲気もよくかしきりの露天風呂もありとてもゆっくりと過ごす事ができました。ありがとうございました。,2019-08-28,駅 雰囲気 事
彼女と初めての箱根旅行でご利用させていただきました。移動と観光で少し疲れた中のチェックインでしたが、スタッフの方の親切丁寧なご対応と気遣いがとても素敵でした。最上階のお部屋もとても眺めも良く綺麗なお部屋で心からゆっくりと過ごすことができました。食事もとても美味しかったです。快適な時間を過ごせて帰りたくなかったです。また箱根旅行の際はご利用したいです。ありがとうございました。,2019-08-26,彼女 箱根 移動 観光 チェックイン 親切 丁寧 気遣い 素敵 最上階 眺め 綺麗 心 食事 快適 時間 箱根 際
スタッフの対応がとても良いです。丁寧な説明、柔軟な対応とても感じが良いです。浴衣の柄が選べたり、入浴に必要なセットを入れる籠が部屋に備え付けられてたり、女性に嬉しい心遣いも。貸切露天風呂も風流でしたし、足湯や無料のマッサージチェアなどあってゆっくりできる空間でした。食事は美味しいですが、献立は普通。露天風呂の湯加減は熱めで長湯はできない仕組み。笑部屋にシャワールームが無いのが玉にキズ。,2019-08-20,丁寧 説明 柔軟 感じ 浴衣 柄 入浴 必要 セット 籠 女性 心遣い 貸切 風流 足湯 無料 マッサージ チェア 空間 食事 献立 普通 湯 加減 熱 め 長湯 仕組み 笑 シャワー ルーム 玉 キズ
フロントの対応、料理のおもてなし、ドリンクのフリーサービス。どれをとってもとても満足。夕食は食べきれないほどのボリューム。妻も大変気に入ってくれました。特に、フロントのフリードリンクと足湯貸切風呂もとても趣のあるお風呂で、のんびりした時間を過ごせました。スタッフの皆さんも、とても優しく接して頂いて、気持ちのよいものでした。他の宿泊のお客様も、親切な方が多く、気持ちの良い宿には気持ちの良いお客様が集まるのでしょうね。「ラー油きくらげ」のお土産、ごちそうさまでした。また機会がありましたら、利用させていただきたいです。お世話になりました。,2019-08-19,フロント おもてなし ドリンク フリー サービス 満足 夕食 ボリューム 妻 大変 フロント フリー ドリンク 足湯 貸切 趣 時間 皆さん 気持ち 他 宿泊 お客様 親切 気持ち 宿 気持ち お客様 ラー油 きくらげ 土産 ごちそうさま 機会
夕食、朝食付き、和室、で利用しました。夕食がとても良かったです！たくさんの美しくて美味しいお料理がちょうどよいサイズ感の素敵な器で出されて、眼福そして満腹の大変満足でした大浴場は、熱めで気持ちよかったです。お布団を自分で敷くシステムだったのですが、やや面倒でしたので、評価普通にしております。。ロビーにはコーヒーマシンが置いてあり、自由に飲むことができて良かったです！また来たいなぁ、と思いました！が箱根はたくさん旅館がありますので、他の旅館にも泊まってみたいと思います！！,2019-08-14,夕食 朝食 付き 和室 夕食 たくさん サイズ 感 素敵 器 眼福 満腹 大変 満足 浴場 熱 め 布団 自分 システム 面倒 評価 普通 ロビー コーヒー マシン 自由 箱根 たくさん 旅館 他 旅館 !!
予約していくと、さまざまな特典がついてきました。ケーキや貸切露天風呂が無料でついてくるなどすごく得した気分です。部屋内に露天風呂もよかったです。コーヒーやマッサージチェアーも無料でした。終始接客も丁寧で満足しました、,2019-07-23,予約 さまざま 特典 貸切 無料 得 気分 内 コーヒー マッサージチェアー 無料 接客 丁寧 満足
フロントスッタフの皆さんとてもいい対応して頂きご飯も美味しく家族みんな大満足ですまた利用させていただきます！,2019-07-16,フロントスッタフ 皆さん ご飯 家族 みんな 満足
とても綺麗でよかった近くにコンビニ等もありよかったですまた利用したいと思いますおすすめです。,2019-07-04,綺麗 近く コンビニ 等
早いもの順で貸切露天風呂の予約ができます。（隣の人の会話が若干聞こえますが）よかったです。（前の人の綿棒がゴミ箱に残ってたのが残念）部屋にも露天風呂が付いていて、一泊で二回楽しめました。今回、彼氏の誕生日で伺いました。（口コミでは評価の差が激しく、若干心配でしたが）予約時、備考欄に「彼氏の誕生日で何かサプライズできないか」と書き込んだところ、ホテルから直接電話があり、ケーキが出せる、どの種類が良いか等、丁寧にご案内いただきました。来る時に正面玄関ではなくて裏口？のようなところから入ってしまったので、もう少し案内があると良いかと思います。アメニティがかなり充実していました！浴衣も選べてよかったです。若い方にオススメ！,2019-07-01,順 貸切 予約 ( 隣 人 会話 若干 ) ( 前 人 綿棒 ゴミ箱 残念 ) 一泊 回 彼氏 誕生 日 ( 口コミ 評価 差 若干 心配 ) 予約 備考 欄 彼氏 誕生 日 サプライズ ホテル 直接 電話 種類 等 丁寧 案内 正面 玄関 裏口 ? 案内 アメニティ 充実 浴衣 オススメ
病後の療養も兼ねて一人でゆったり過ごしたく利用させていただきました。日常から離れゆっくりと好きな時間に湯に浸かり、美味しい料理を堪能し癒されました。ただ、この時期の露天風呂は初めてでしたので気がついたら虫刺されが十数箇所。チェックインの際に一言言っていただけましたら対処できたかと残念に思いました。,2019-06-25,病後 療養 人 日常 好き 時間 湯 堪能 時期 虫 十 数 箇所 チェックイン 際 一言 対処 残念
部屋は清潔で客室露天風呂も最高でした。でも料金を払っての貸切風呂は残念でした。予約がいっぱいだったのでチェックアウトする少し前の朝の予約にしました。見た目は普通でしたが足を入れた瞬間浴槽がヌルっと…みるみる内にゴミやアカが浮いてき、ものの数分で出て来て客室露天風呂で入り直しました。あれが夜だと思うと垢やゴミが気づかないのでゾッとします。フロントの方も少し不慣れな？な様で対応が…それ以外は満足だっただけに少し残念です。なのでお風呂の評価を下げました。,2019-06-08,清潔 客室 最高 料金 貸切 残念 予約 チェック アウト 前 朝 予約 見た目 普通 足 瞬間 浴槽 ヌル 内 ゴミ アカ 数 分 客室 あれ 夜 垢 ゴミ フロント 不慣れ ? 様 以外 満足 残念 評価
リピーターです。といっても、前回宿泊したのはもう4.5年ほど前です。リーズナブルなのに、貸切露天も無料で入れるし、特にお料理が美味しかった印象があり、今回幹事の旅行に利用させてもらいました。やっぱり食事が美味しかった！平日だったからかもしれませんが、コスパ的に私は満足ですね。しかも今回、じゃらん特典？で、夕食にサザエがついてきました！若いスタッフの方が多かったですが、皆さんとても感じがよく、気持ちよく過ごすことができました。急遽の人数変更など、快くご対応いただきありがとうございました。,2019-06-03,リピーター 前回 宿泊 . 年 前 リーズナブル 貸切 露天 無料 印象 幹事 食事 平日 パ 的 私 満足 らん 特典 ? 夕食 サザエ 皆さん 感じ 人数 変更
旅館の雰囲気や設備等はもちろん、フロントの接客が丁寧で感動しました！！夕食も朝食も本当に美味しすぎてまた利用したいと思いました！！ありがとうございました。,2019-05-20,旅館 雰囲気 設備 等 フロント 接客 丁寧 感動 !! 夕食 朝食 !!
建物の古さは否めませんがそれを精一杯　補おうとしているホテル側の姿を感じる事が出来ました。値段も安く設定されているので、多くを望むのは酷だと思います。食事は品数も多く、工夫をされていました。野菜スティックを浸けるバウガウニャーと言うタレはとても美味しく野菜の美味しさを引き立てていました。ただ、デザートはちょっとしつこかったです。さっぱりゼリー位で良いですね。,2019-05-01,建物 ホテル 側 姿 事 値段 設定 多く 酷 食事 工夫 野菜 スティック バウガウニャー タレ 野菜 デザート ゼリー 位
