口コミ,投稿日
コスパが凄く良いと感じるお宿でした。食事ももりもり、卓球も楽しめました。またお世話になろうと思います。,2019-09-23
感じの良い女性の方のお迎えで館内に入りました。お部屋は広くて、清潔でした、御飯も美味しく頂きました。強羅からすぐそばでしたし、この時期のコストパフォーマンスはとてもよかったです。,2019-08-17
チェックイン予定時刻を大幅に過ぎて、夕食時刻を一時間半も過ぎてしまったにも係わらず、温かい食事を提供頂きまして大変感動しました。朝食も含め食事レベルも高く、大満足でした。スタッフの皆さんも感じがよくて安心して泊まれました。本当にありがとうございました。部屋も大部屋で孫が大喜び。風呂も清潔で、久々に感動したホテルでした。機会がありましたらまた寄ります。,2019-08-13
夏休みの家族旅行で利用。温泉は源泉でとても気持ちよかったです。施設はとても清潔感、部屋も広々として、食事も満足です。強羅のアクセス良い立地、サービスも満足です。また、泊まりたいです。,2019-08-05
　北海道から一度は箱根に夫と一緒にと3年ほど前の11月紅葉を楽しみにしていた当日、雪で断念！　今回、数日前火山の警戒レベルが上がり又かとホテルに連絡したら、親切に状況をお知らせいただき、安心して伺うことが出来ました。強羅の駅近く、膝の悪い私には有難く、閑静な佇まい、お部屋も和洋室、広く大きな窓から奥深い箱根を堪能。評判通り、夕食一品、一品におもてなしの心が感じられ本当に大満足、朝もこんなに食べられるかなと思うくらいでしたがペロリとたいらげてしまいました。　今度は孫や子供も一緒にと来たいと思います。,2019-05-28
4年前、まだ息子がお腹の中にいた時に夫婦で利用し、お部屋、お風呂はもちろんのこと、お料理の美味しさと接客に感動したので今回は息子も連れて再訪しました。朝夕の食事は普段では食べきれない量ですが美味しいのと子供に分けたりしてほぼ完食しました。子供用に別メニューを用意して頂けたので助かりました。浴場はそんなに広くはないですが、私以外に子連れの他家族も入浴していましたが適度な距離感が保たれる感じで全く気になりませんでした。脱衣所は清潔感がありました。今回G.W.で料金はお高めでしたがそれでも泊まって良かったです。また必ず再訪したいと思います。ありがとうございました。,2019-05-21
計8室のこじんまりとしたホテル。大浴場も小さめですが、大人数のツアー客がおらず、マナーの良いお客さまばかりで、静かで穏やかな時間を過ごせました。建物もまだ新しく、しっかりした造りのようで、隣室や廊下の音が気になるというような事も一切なし。共有スペースも客室もお風呂も食堂も、掃除が行き届いており、アロマ装置や空気清浄機なども設置されていて快適でした。とくにお料理は、一つひとつ丁寧に作られていて期待以上に美味しかったです。フロントで呼び出し電話をかけても少し時間がかかるような場面もありましたが、少人数のスタッフが忙しく飛び回っておられる様子で嫌な感じはしませんでした。また、忙しそうなのに、食事の配膳の時には、テーブル毎でお客さまに「どちらからお見えですか」「お写真を撮りましょうか」「お味はいかがでしょうか」というように声がけをされるなど、気配りも感じられました。食堂にいらした他のお客さまも、「美味しいね」と言いながら、ニコニコ機嫌良くなさっている方が多かった印象があります。細かい事を言うと、テーブルに着くと汁ものとごはん以外はテーブルに揃っているので、コンロで温めている料理は別として、焼き物や煮物などが若干冷たいといった事がありました。しかし、フルコース形式で一つひとつ順番に配膳というのにこだわるなら、もう少し料金のランクアップが必要かなと…。この価格と人手を考えると、本当に最善を尽くされているのではないかと思います。温泉も少し熱めのかけ流しのお湯がとても気持ちよく、リフレッシュできました。また、客室からは、箱根の山々が眺められ、うぐいすのさえずりも聞こえて本当に癒されました。お布団を敷いてもらったり、何度もスタッフを呼び出して、色んなリクエストをなさるような方には向いていないかもしれませんが、私はあまり構われすぎるのが煩わしいので丁度良い感じでした。今回は関西に住む古くからの友人との一泊旅行でしたが「良いホテルを選んでくれてありがとう。このホテルで良かった」と友人にも満足してもらえて良かったです。また、泊まりに行きたいなと思えるホテルです。また、GWで価格は全国的にお高めの時季でしたが、この時季の価格としては良心的な方かと思いました。,2019-05-07
母娘旅で利用させていただきました。小さなお宿なのでこじんまりとしてますが大げさなサービスが無い分気兼ねなく過ごせます。ホテルの方もいつも自然に心遣いのある言葉をかけてくださり気持ち良く過ごせます。朝食時も、母の身体具合の関係で食べるスピードが誰よりも遅い私達は、他のお客さん全員が食事を終えてお部屋に戻っても食事を続けていたのですが、その間食べ終わったお客様のテーブルをこれ見よがしに片付けることもなく、又私達が食べ終わるのを見張るわけでもなかったので、ゆっくりと落ち着いて美味しい朝食をいただけました。朝食そのものもボリューミーでバランスも良く大変満足しております。長い朝食の後にご馳走様でしたと声がけをすると「ごゆっくりどうぞ」と気持ちの良い返事が返ってきました。温泉は小さいので人数が多いとゆっくりできませんが、清潔で温泉の質も良く気持ち良かったです。強羅滞在の時は又利用したいです。今度は大食漢の友人と一緒に夕飯付きで泊まってみたいです。,2019-04-08
朝夕のお食事、どれもハズレがなく、彩りバランス良くとてもおいしかったです！！主人も息子もとても満足していました。ありがとうございました。,2019-03-31
友人とのプチ旅行を企画した私は、口コミを参考にこちらのホテルを予約しました。結果とても良かったです！掛け流しの温泉に、美味しい食事。お部屋も清潔で、ゆっくり寛ぐことが出来ました。遅くまで友人達とペチャクチャと話し込んでしまいました。今回は車で、ナビ利用でしたが、最初曲がる所を間違えて、ぐるっとひと周り。（笑）道幅も狭いので注意が必要かなと思います。,2019-03-23
宿泊したのが平日だったこともあり、お風呂や館内設備は貸切状態で、とてもゆったり過ごすことができました。フロントの方にも、大変親切に接客していただきました。また是非利用したいです。,2019-03-04
2度目の訪問です。カラオケもあるし、卓球もあって、楽しめます！お風呂上がりはマッサージチェアで体をほぐして癒されます。お風呂は源泉がコクコクとずっと流れているので、源泉60度がお風呂に溜まってしまうとお風呂は熱いです。水で埋めて入りました。過剰なサービスがないのが私たちにあっいるのでまた利用したいと思います！,2019-02-21
大変に満足出来ました。強羅駅近くなので、とても安価で広い部屋。今回は一泊二食付きのプランでした。レストランで頂きましたが丁寧に作られた感じの見た目も綺麗な朝タ食でした。,2019-02-16
妻と2人で一泊で利用しました。1530頃にチェックインし、そのまま温泉に。誰もおらず、貸切状態で贅沢にゆっくり入れました。お湯が少し熱いため、少し水で冷ました方が良いと思います。その後夕食。何品あるの？という量に圧倒されました。一つ一つが丁寧で真心を感じる夕食でした。ご飯がおかわり自由で、その面でも大満足でした(笑)夕食後に２回目の温泉へ。数分別の宿泊客と一緒でしたが、再び貸切状態でした。芯まで暖まり贅沢な気持ちになりました。朝食前に3回目の温泉へ。やはり貸切状態でした。またまた贅沢な気持ちを味わいました。朝食も夕食に劣らず、何品も味わうことが出来ました。あまりに美味しかったのでついついご飯を3杯も…(笑)豪華絢爛な最高級の宿ではありませんが、出来ることを最大限努力しているサービスを提供していただける、おもてなしが贅沢な宿でした。強羅では間違いなくここにまた来ます。,2019-02-11
部屋は掃除がいきとどいていてとても良かったです。綺麗好きな子供も文句なしでした。子供もまた泊まりたいと言っていました。お風呂のお湯は子供には熱すぎたみたいですがとても良い温泉でした。,2019-02-01
駐車場が旅館の崖の下で、車止めなし…要注意台風１５号が通過した夜で一晩中雨風が・・うるさかった(やむを得ないが）露天風呂は上記理由で利用かなわず、内湯は掃除をしているには汚れすぎ。箱根の湯でのんびりしたかったが、言葉に不都合はなかったが、外国人の女性が２名のみ、日本人不在でなんとなく強羅の旅館ではないような気がし、落ち着かなかった。２度目行くかはチョット疑問が残る精算時に宿泊料はすでに支払い済み、飲み物代と入湯税だけとなったが、カード払いが１万円以上だと断られた、現金は最近は持ち合わせないので気持ちよくカード払いをして貰いたかった。,2019-10-15
娘と温泉旅行に利用しました。部屋は綺麗で、客室数も少ないのでとても静かで、のんびり出来ました。温泉は気持ちよかったのですが、お風呂に虫が…自然の中なので仕方ないのですが…湯温は低めで、今の時期にはよかったのですが、冬場はちょっとぬるいかな？あと、部屋にドライヤーがないので女性はご注意を。接客は良かったです。,2019-08-29
久しぶりに佳山水さんにお世話になりましたが、送迎はじめおもてなしは変わらずとてものんびりさせていただきました。特に朝食洋食をお願いしたところ、とてもおいしかったです。これからも時折お邪魔したいと思っております。ありがとうございました。,2019-08-16
リーズナブルなお宿です、お部屋もエキストラベッドを入れて頂き助かりましたお風呂も入れ替えがあり源泉を堪能できました食事も満足、スタッフの方もとても親切でした…しかし部屋のトイレが配管の問題なのか、着いて直ぐにドアを開けた瞬間の悪臭に驚き、一度トイレを未使用で流して時間を、おいて再度開けても悪臭変わらず、使える状態ではありませんでした…しょうがなく部屋の外のトイレを家族全員で使用していましたこれさえなければ満点つけてもよいかと思うほど…とても残念に思います,2019-08-11
●お部屋広々としたツインの部屋で眺めがとても良かったです、標高が高い場所なのが早朝は朝靄と霧越しに眺める箱根の山々がとても神秘的でした。部屋は清潔感があり無料で飲める冷えた湧き水が美味しかったです。部屋にドライヤーがないのでご注意を。●温泉内風呂のみと内風呂と露天風呂の２つのお風呂があります。どちらも入りましたがなかなかお湯がぬるめで、もうすこし熱いのが好みの自分としてはすこし残念でした。●食事ボリュームがとてもあり大変美味しかったです。お刺身は新鮮で登板焼きは量があり、そのほかの肴も種類が豊富で楽しめました。●接客 サービス外国人の方のスタッフだけでしたが皆様とても笑顔が素敵で対応もとても丁寧でした。,2019-07-23
今回初めて利用しましたが、食事も美味しく、楽しい旅行になりたした。お風呂は思ったよりは狭いので入る時間が重なってしまうと大変かなと思いましたが、タイミングよく空いているときに入れたのでよかったです。お風呂上がりはお肌ツルツルで最高でした！朝のお風呂の入れ替えのタイミングがもう少し早い時間でもいいのかなと感じました。,2019-06-22
数年前リフォームされた頃の夕食は、季節感のある手作りメニューでとても美味しく、今回も楽しみにしていましたがちょっと想像と違ってました。最近香料の強いシャンプーやボディーソープが身体に合わなくなり、こちらのものもそうでした。羽織も柔軟剤の匂いがだめでした。でもスタッフの方は何度も取り替えて下さり、お客様思いの真心を感じました。室内のシャワーヘッドの穴が少ないのか、痛くて我慢して使いました。チェックインの後、部屋に行くと扉が空いたままでした。山側なので湿気を取っていたのでしょうか、ややジメッとした暗い部屋で、ロープウェイ駅の発車音楽がしょっちゅう聞こえてました。事前に教えて貰いたかったです。,2019-06-15
泉質は良いですが、夕食の内容が可もなく不可もなくといった感じでした。懐石のように細かく切っている料理が冷めきっていて、松花堂弁当みたい。￥１０００別注文伊勢エビも大量に干からびたマヨネーズが乗っていて、￥１０００別注文ビーフシチューもぬるい・・・唯一、その場で固形燃料で火を付ける豚肉の料理は温かいのですが、席に着くなり「火をつけても良いですか？15分くらいかかりますから」と火をつけてくれたのですが、それも火を付けるのが早すぎで焼き過ぎ状態・・・安い宿だから仕方ないですが、早く片付けたいのが見え見えです。それと・・厨房の声が丸聞こえで、大きな声の外国語、配膳以外は外国人の宿でした。料理は出せばいいのではなく、心を込めてほしい。翌朝は冷めたものがテーブルにセットされていたら嫌なので時間よりも30分早く食堂にいき、温かいものを食べました(￣▽￣)平日でしたが、2組しか泊り客がいませんでした。私はリピートはしないです。,2019-06-10
　温泉大好き夫婦です、毎月温泉を求め関東近県を旅しています。今回は久しぶりの箱根強羅温泉に行って来ました、旅行の少し前から火山活動がレベル2になり、目的だった強羅からのケーブルカーやロープウェイでの大涌谷散策ができなくなってしまい残念でしたが、宿泊したホテル佳山水さんの白濁硫黄泉を堪能しました。佳山水さんは小さなホテルでしたが比較的高い宿泊料の宿が多い強羅近辺ではとても割安で価値のある宿でした。仙石原の野鳥の森や強羅公園の散策と畑宿の寄木会館の見学も出来、とても充実した温泉旅行が出来ました。ただ、時間帯で入れ替わるはずの男湯と女湯が変わらずに外湯に入れなかったのがとても残念でした。,2019-06-04
夕食は最初、息子にはならないかなぁと思またのですが、そんなことも無く又お味も美味しかったです。ただお吸物は私には、少ししょっぱい感じがしました。でも全てにおいて満足しました。又お邪魔したいです。,2019-03-25
濁り湯の温泉を探してこちらの宿にしました。温泉、食事とても満足の内容でした。10部屋しかなく当日は6組の宿泊だったため、お風呂は貸し切り状態でゆっくり入ることができましたし源泉かけながしで24時間入れるというのが◎です。最近は夜中は入れない宿が多いので。大型のホテルと違い過度なサービスはなく静かに過ごすことが出来ました。お風呂や食事場所への移動も短いのがいいですね。部屋は清潔でとても広く濁り湯は期待通りのものでしたし食事がとてもおいしかったです。また行きたいと思える宿でした。,2019-03-23
駅から近いこと、夕食が提供されることを条件に予算内で宿を検索しました。「部屋が狭い」との案内がありましたが、十分な広さの部屋でした。また、口コミで好評だった料理は、想像以上の内容で、この料金でいいのか？と少し不安になるぐらいでした。,2019-02-17
接客は良かったです。お湯は最高でしたが露天風呂が男女両方になかったので低血圧で朝にお風呂が入れない私は露天風呂をゆっくり楽しむ事が出来ずとても残念でした。（朝8時に男女のお風呂が入れ替わります。チェックアウトの10時までのたった2時間しかチャンスがない状態です。朝食の時間と被るので慌ただしく入浴はできません）夕食は他の宿と比べても普通で朝食はおかずが少なく大抵どこの宿にもあるコーヒーサービスなどもなく、朝食は残念ながらレベルは高いとは言えません。総合評価は割高に感じました。,2019-02-17
素泊まりで利用しました温泉は疲労に効くとだけあって、体の疲れがとれました部屋から大浴場まで近く、何度も入りました！バスタオルとフェイスタオルが大浴場にあるのは助かりますね！大浴場まで行くカゴバッグなどあるといいなと思いましたが満足です。大箱根CCが目の前なので部屋から見る景色も非日常のゆっくりと進む時間を感じられてよかったです。ゴルフが好きな方には本当にオススメですね,2019-12-22
会社関係の相手と会食を兼ねて利用しました。予約していなかったレストランにもスムーズに案内していただき、助かりました。,2019-11-28
翌日のゴルフの前泊地として利用しました。レストランでゆっくり食事を頂いた後に箱根の湯をゆっくり楽しめました。部屋も広く、存分に満喫できました。,2019-11-28
びっくりする位、素敵なホテルでした。お部屋は写真で見るよりも驚くほど広く、とても清潔でしたし、テラスから見える景色は最高でした。露天風呂は本当にすごく気持ちが良く、脱衣所も清潔で、バスタオル等もたくさん用意されていました。朝夕食のビュッフェは、種類が多く、一品一品が暖かく丁寧に作られていてとても美味しかったです。デザートや食後の温かいドリンクも充実していました。ビュッフェをいただいたレストランからの景色もよく、広々としていて居心地がよかったです。ホテル全体が映画に出てくる素敵な洋館のような雰囲気で、ホテルマンの方たちの接客は高級ホテルの対応でありながら笑顔が多くて暖かくて、観光の疲れが癒されほっこりした気分になりました。公共交通機関で行かれる場合は、バス停から少し歩くので、ご高齢のかたは気をつけたほうがいいかもしれませんが、仙石原付近を観光するのであれば是非お勧めしたいホテルです。本当に素敵なホテルでした。このホテルを利用することで箱根旅行の思い出がより素敵なものになると思います。本当にお勧めです。ホテルの皆さん、ありがとうございました。,2019-11-24
台風19号の影響で温泉は復旧していませんでしたが、お風呂の温度もちょうどよく、とてもリラックスできました。朝夕のビュッフェは常に補給しており、また、きれいに盛り付けされていました。見た目の良くおいしかったです。,2019-11-13
この度は各スタッフの皆様、本当にありがとうございました。急に思い立って両親と河口湖にほうとうを食べに行こう決まり、母親の体調を考慮して一泊での旅行となりました。泊まる場所を検討している中で価格が安いなどの理由からこちらに決め伺いました。価格からしてプリンスさんだからとはいえあまり期待はしていなかったのですが、ロビーに入った時よりなかなかの佇まいにビックリし、スタッフさんの対応にグレードを感じました。お部屋はhikariプレミアにしたのですがなかなかのお部屋でなにより両親が大変喜んでくれ、本当に助かりました。空気清浄機やオットマンソファーなど、とても快適で過ごしやすい空間でした。そしてなによりお部屋、レストランから見える景色はゴルフ場を抱くように連なる外輪山が朝日や夕日を受けて素晴らしい佇まいを演出してくれています。仙石原の景色としてはこれ以上ない景観なのではと思う素晴らしい物でした。食事も本当に美味しくてなによりレストランのスタッフさん達がとても温かく気持ちいい時間を過ごせました。一泊の滞在がこんなに充実出来た事に本当に感謝いたします。両親もチェックアウト後に名残惜しそうでまたここに来たいとずっと言っておりました。全体的にスタッフさんが機能して、グレード感があり滞在する時間が暮らす様でいて非日常を味わえる素敵なホテルでした。最後にスタッフの皆様、これからも一期一会を大切に変わらない対応をぜひよろしくお願いいたします。また伺います。,2019-11-07
部屋は綺麗で景色も良く食事も美味しい。とても満足です。特に朝食ビュッフェのレストランから見える景色が最高です。,2019-09-25
部屋のベランダにでるとスタートホールが目の前に、そしてフェアウエイの綺麗なグリーンベルトが広がり、そのの向こうには箱根の深緑の山並みを眺めることができました。最高の景色でした。また、室内も清潔で過ごしやすくゆったりくつろぐことができました。箱根でのゴルフを夫婦で楽しくプレーガでき、夏休みの良い思い出となりました。ありがとうございました。またお世話になります。,2019-09-02
良かった点：お風呂：①個人的にはお湯の温度がちょうど良かったし（夏なのでぬるめが良い）、寄席細工の装飾もよかった。②お風呂場には、タオル、手ぬぐいの他、髪ゴムや化粧水、乳液等が備わっているので、手ぶらで行ける。朝食：③朝ご飯のオムレツ、カレーがおいしい。蒸し野菜もありがたかった。④飲み物も充実。特にコーヒーがおいしかった。部屋：④外がゴルフ場で見晴らしがいい。フロント：⑤オセロを貸してもらえた。⑥対応がよかった。改善点：部屋：①３人で宿泊したので、ソファーベットを利用したが、ソファーが傾いていて、寝づらかった。②部屋にも化粧水・乳液などがあるとよかった。食事：③魚はその場で焼いてくれるとより良かった。お風呂：④ジャクジーや寝湯などもあるとより良い。フロント：⑤チエックインのとき、３組並んでいたけど、対応してくれたのは一人だったため時間がかかった。,2019-08-22
チェックイン時、フロントの方が３人いましたが、誰からも挨拶されず、顔も上げず、どのカウンターに行けばいいのか戸惑いました。建物が古いのは気にしませんが、掃除が行き届いていないのが嫌でした。部屋のテーブルには食べカスのようなものがあり、カウンターは字が書けるほどの埃……掃除したのでしょうか？女湯は、露天風呂も内湯もぬるかったです。天窓が開けっ放しなので、洗い場に虫がいて嫌でした。換気扇は無いのでしょうか？バイキングは美味しかったです。時間制限もなく、のんびり過ごすことが出来ました。ただ、空いたお皿を下げるタイミングが下手なのか、私の横から手を伸ばし、食べてるお皿の上を通り、 斜向かいのお皿を下げるのは如何なものかと…。ぐるっと回ればすむのに面倒なんでしょうか。もう少しサービスの質を上げたら良いホテルになると思います。,2019-06-28
テニス仲間とテニス合宿とはいえ、よい年なので合宿所ではなく少し品質を求めました。さすがのプリンスでサービスも行き届き、部屋はちょっと狭めですが（3人エクストラベッドは狭く感じるが、ツインはOK)、窓からはゴルフ場が見えて爽快、清潔感もあり、部屋にペットボトルのお水もあって。食事はビュッフェ形式でたくさんの種類があり、とても楽しかったし、何をいただいてもおいしかったです。昼間はとても空いていて、大丈夫か？と思っていましたが、夜になったらどっちゃり外国人のツアーバスが到着して込み合いました。肝心のテニスコートは、ホテルの通路から2分のこころにあり、駐車場もあります。更衣室とトイレがありますが、ちょっと砂で滑りやすいので注意。こちらはホテルの本館のような清潔感はちょっと落ちます。自販機がないので飲み物をたくさん用意して行ってください。コートのコンディションは良好。ルーフのついたベンチはありませんので、季節にもよるでしょうが日陰は少ないです。テニスで疲れた体は、温泉でゆったりと癒せました。温泉は露天もあって山が見えて解放感があります。POLAのシャンプー・リンス・ボディーシャンプーンプー、それと顔用のクレンジングと洗顔せっけんがありますが、強い日焼け止めを落とせる威力はないので、クレンジングオイルは持って行った方が良いです。化粧水、ヘアローション、コットンなどはバッチリありました。タオルは部屋にもありますが、温泉に用意されているので持っていかなくて大丈夫。テニスコート代を入れて、この品質であれば、お安いくらいだと思います。また利用するつもりです。,2019-05-20
箱根はタクシーが少ないらしく観光地の移動は大変でした。朝イチで窓から鹿が見れてびっくりしました。女湯はぬるめの湯で残念でした。男湯は熱くて良かったらしいです。露天風呂か内湯どっちか熱くして欲しいなあ～それか部屋風呂を温泉にして欲しいなあ～,2019-05-14
芦ノ湖のプリンスより静かなのでこちらを利用してみました。お風呂も混んでなくてゆっくり入れましたし、食事も時間指定なので混んでなくてゆったりと食べられてとても良かったです。地ビールの金額が高くてちょっと驚きましたが、食事がとても美味しかったのでまぁ良いかと。お部屋も静かでとてもくつろげました。また是非利用したいと思います。,2019-04-15
富士山を観光し、仙石原で宿泊し箱根へ！観光しながら回れました。ホテルでは、温泉にゆっくり浸かり休めました！,2019-03-29
建物は風格も高級感もあります。部屋もとても広くて贅沢している感じがしてよかったです。ただ設備が古いためあまり快適ではないと感じるときもありました。大浴場は雰囲気もよく気持ちいいです。閑散期のためか、やっていないレストランもいくつかあり、このホテルの良さをすべては味わえていない気がします。,2019-03-11
広い窓からゴルフ場の開放感、箱根の山々の眺望、最高です。リニューアルと露天風呂で数十年ぶり？にお邪魔しました。寄木細工模様がさりげない露天風呂も素敵でした。雨の箱根も静かに過ごせていい感じです。らせん階段は楽なのでお風呂の後など他の方とのエレベーター使わずに移動しやすく良かったです。らせん階段とアーチ状の天井が、昔と変わらず？嬉しかったです。,2019-03-07
部屋付き露天風呂、温泉好きにとって、たいへん有意義でした。適温の状態から入って、段々と熱くなって来るの待ち、いい気分になったら出る、そして、１時間後にまた入るを繰り返し、最高の気分を味わいました。また、夕食の配膳の方も、一生懸命に尽くしているのが見受けられました。ゆっくり過ごせ、最適な１泊旅行でした。,2019-12-24
あまり期待せずに行ったのですが、受付の方の対応は至って普通。決して不快なものではなく安心しました。部屋は本館2階の「硫黄泉露天風呂付大型和室」で家族3人では有り余る程の広さ。露天風呂も余裕で家族皆で入れるくらいの大きさで、子どもは大変喜んでいました。シャワー設備もありますが特に囲いもなく露天風呂脇にあるので、今時期これを使用するのは勇気がいったので、洗髪洗体の際は大浴場に。大半の部屋に露天風呂がついているせいか、大浴場は然程広くはなかったですが、入っている方も少なく此方もゆっくりと堪能出来ました。夕食は大人は満足しました。豚しゃぶの出汁が少々濃い目な感じでしたが、溶き卵につけて食べると丁度良い塩加減に。家でもやってみたくなりました。それとオプションで付けた金目鯛は絶品。全体的に量は多かったけれど、頼んで正解でした。子ども用はファミレスのお子様ランチと言った感じで、ちょっと微妙な感じ。ご飯とみそ汁以外は手をつけず、大人メニューを一緒に食べていましたが特に金目鯛を喜んで食べていました。子ども用の夕食はオプションしてもらえたら有難いです。朝食は普段あまり量を食べない我が家としてはボリュームがあり、申し訳なかったのですが残してしまいました。HPの写真にあった納豆がなかったの残念でしたが、豆腐は濃厚でとても美味しかったです。過度のサービスを求める方には少々物足りないかも知れませんが、我が家はとても楽しく過ごせました。次回は別館の方に泊まってみたいです。,2019-12-23
友人と「宿メイン」の旅で利用させてもらいました。和モダンなつくりで、とても癒されました。夕食の金目鯛は肉がホロホロでとろけました。接客も笑顔で可愛いお姉さんで楽しく食事もできました。１つあげるとすると、部屋の露天でシャワー浴びてる時にいきなりお湯が出なくなったことはマイナスポイントでした。。部屋に露天が付いてるならいつでもお湯が出るようにして欲しいところです。。それ以外は大満足。幸せな旅行になりました。,2019-12-22
部屋にお茶菓子が置いていませんでした。お湯を沸かすT-falは置いてありますが、水は水道水を使うべきなのか(箱根の水道水は美味しいなど、案内が書いてあれば親切かと)、そうでないとしたらペットボトルの水くらい置いておいて欲しいです。また、今の季節乾燥が激しいので、加湿器ぐらい置いておくべきでは？と感じました。食事は朝晩並みの宿レベルか、それ以下か。量はありますが、私どもの口にはあまり合いませんでした。食事の説明が全て紙ベースというのも何とも味気無い…お風呂はこぢんまりしています。シャワーが6台？くらいしかないのに、4人使うとお湯が出なくなります。寒い思いをしました。また、お風呂上がりにお水が置いていない宿は初めてでした。諸々費用を抑えようとしているなというのが散見され、客としては残念という感想が残ります。,2019-12-16
折しも台風19号が上陸する日と宿泊が重なってしまいました。朝早めに出て午前中にホテルに着いてしまい、ホテルの方の配慮で早々に部屋に入らせて頂けることに。しかも部屋のグレードをあげて頂き、その点については大変有難く思いました。しかし、その後は残念なことしかなかったです。まずフロントの人の態度と対応が非常に悪かったです。「いらっしゃいませ」等の挨拶もなく部屋の説明をしてくれたものの鍵を渡すでもなく。「あの、鍵は？」と聞くと「は？ああ・・・」とかったるそうな態度で渡されました。夕方になり停電してしまい（停電は翌日になっても復旧せず）食事は夕ご飯は数品少なくなり、翌朝の食事はおにぎり2個とミネラウォーターのみ。停電のために客室の露天風呂にも入ることが出来ませんでした。何よりもがっかりしたのはチェックアウトの際お土産を買おうとしたら例のフロントの人から「停電でレジが使えないから宿泊代のみの会計にしてください。その品物は棚に戻してください」と見るからに面倒くさそうな顔と口調で言われたこと！宿泊代の精算は出来てもお土産は買うなというのはおかしい。そして当初のサービスが出来ていないにも関わらず宿泊代金はしっかり取られました。帰宅後友達等に話したら皆「それはおかしい」と言ってくれたのでホテルにその旨メールしましたが返信なし。同じ内容の手紙も出しましたが返信なし。自然災害の中でのこととはいえあまりに誠意のない対応に失望しかありませんでした。もう2度と行きません。,2019-11-22
値段の割には、満足出来ました！ゴルフのスタートがやや早めで、朝食が取れませんでした。それ以外は、部屋も綺麗で温泉も良かった。良い思い出が出来ました！,2019-11-03
10月9日〜10日の二日間お世話になりました。先ず、フロントの方々の対応は親切に対応して頂きました。部屋は本棟2階の硫黄泉露天付大型和室に宿泊させて頂きましたが部屋内が予想外の大きさで夫婦二人ではもったいない大きさでした。但しテレビの位置、掘りごたつの位置が入り口に入ったら目の前で位置取りにどうかなと思いました。部屋全体が５〜６名での宿泊用と思いますが二人では土間でテレビを見ているような感じでした。寝室の別途は綺麗に清掃されていたと思います。部屋内の硫黄泉露天風呂は確かに当初は硫黄の香りがしたが循環式の為に徐々に香りが薄らいで行ったのは残念でした。大きさは十分でした。大浴場は男子の方は少し暑かったですが綺麗でした、女子風呂の露天は温度が低く時間かかりました。食事は夕食はメインの豚しゃぶは出汁が塩味なので時間と共に煮詰まってしょっぱさが残りました。量は十分ごちそうになりました。朝食は干物のアジが冷えており美味しくなく、内容も寂しい内容でした、外国人が多い為、納豆や生卵は無理なのかと思いますが？トータルでコストとの兼ね合いでは十分でした。お世話になりました。,2019-10-12
を期待して来ましたが…ちょっと期待はずれでした。でも、各部屋にある場合はそんなもんかなと思ってしまった。フロントの方が外国の方だったけど、日本語が上手で不自由なかった。,2019-10-03
何回もリピートしてます。他の一の湯さんには泊まったことがないのですが、ここの客室露天風呂がとにかくお気に入りです。お酒を持ち込み飲みながら硫黄温泉に入れるのは幸せです強いて言うなら料理のバリエーションを変更していただけたら良いかなと思います,2019-09-15
子連れの５人家族＋主人の母親で宿泊しました。メゾネットタイプのお部屋は広々で、露天風呂も楽しめました。お食事は美味しかったですが、連休中で人員不足か、サービスが追いついておらず、少し残念でした。一の湯グループの湯巡りを利用し、他の一の湯さんのお風呂に行きましたが、そちらも連休中で混雑していたこともあり、１ヶ所は断られ、もう１ヶ所は手狭でお掃除が行き届いておらず、がっかり。その分、こちらの大浴場は清潔で広々していたなと、後から満足度が上がりました(^-^),2019-09-09
露天風呂つきの部屋の別館に泊まりました、部屋の清潔感は満足ですが、外観がちょっと薄汚れた感じがしました、また部屋の風呂も大浴場もかなり熱めの感じて入浴時けっこう水を入れました。,2019-09-04
夕食の時に料理の説明が無く しゃぶしゃぶをどうして食べるのか解らず 致し方なく適当に食べました 食事後半にいくら待っても御飯が来なくて あげくの果てには食後のデザートが来てしまい 食事が強制終了となってしまいました 最後の対応をして頂きました,2019-09-02
一歳の子ども付きで1泊お世話になりました。お部屋に露天風呂が付いているとちうことで、こちらの宿に予約させて頂いたのですが。お風呂は申し分無いほど、とても気持ちが良かったです。洗い場が、改装されたためかとても狭かったですが、それを補うほど、露天風呂は良かったです。大変残念だったのは、お部屋について。木々に囲まれた日の入りにくいお部屋なんだと思いますが、入った瞬間のカビの臭いに衝撃を受けました。窓にはカビのあとがびっしり。また、エアコンもカビの臭いがひどく、一歳の子どもを連れていたので、喘息にならないか心配するほどでした。せめて空気清浄機でもあれば、という感じでした。お部屋でのんびり寛ぐつもりで宿泊したのですが、部屋にあまりいられないような状況でした。また、バスタオルは犬の臭いがしていました。ペットも一緒に泊まれると記載があったので、何か動物が使ったものを一緒に洗ったりされているのでしょうか。あるいは同じ洗濯機を使われているのかわからないですが…とても残念でなりませんでした。お料理は、量は十分にあり美味しく頂きました。リピートしたいとは、ちょっと思えない時間となってしまい、とても残念です。,2019-08-27
夕食、朝食共にボリュームがあり満足しました。お風呂はこじんまりしていました。湯の温度が高く子供が入れませんでした。部屋が少し埃っぽかった。,2019-08-21
