口コミ,投稿日
恋人との真ん中バースデイ祝いでの一泊旅行でした。車で箱根周辺を観光予定から、バスで移動し、飲み歩きながらにプランを変更。というわけでチェックイン前にも関わらず駐車を許可して頂きました。帰りのバスに乗り間違えたことで、チェックイン及び夕食の時間に遅れても笑顔で対応して下さり、心苦しかった反面、嬉しかったです。夕食は追加プランのため、食べきれないほど料理が多く、どれも美味しくいただきました。またドリンクもサービスでグラスの大きなものをご用意してくれました。部屋に帰るとサプライズのケーキを頼んでいたのですが、机の上に置いてあり、私は一瞬で気づきましたが彼女が気付くまで時間がかかり、焦ってしまいました。せっかくなら、丸卓テーブル上に置いてほしかったですね。貸切露天は時間もなく、長湯できなかったですが朝に入ったことで景色も堪能でき、良かったです。部屋風呂は半露点と記載されていた（？）ので、露点を期待していたのですが浴室内だったので？？？な気持ちでしたが、私の見間違えでしょうか？ロビーのドリンクは常時置いていただけるとよかったかもしれません。美味しかったのですが、飲みたいときにはありませんでした。,2020-04-01
夫婦2人の最後の旅行をしました。フロントにいた方がとても気持ちのいい接客をしてくださりました。朝食も夕飯も十分お腹いっぱいになるくらい出ます。全体的にはよかったのですが、貸切風呂が思っていたよりも狭くて少しお湯が汚れていました。旅館に来る道は坂が多く、妊婦の私には結構キツかったです。なので車で来る事をオススメします。,2020-04-01
親友との女子２人旅で泊まりました。和室だったのですが、ゆっくりくつろげるお部屋でのんびり過ごすことができました。夕食は時間で区切られていたり、貸切温泉も予約制だったり、時間で段取りが組めたのでついだらだらしてしまう私たちにとってはちょうど良いシステムでした。食事は全て美味しく見た目もきれいでした。懐石料理は結構量が多いイメージで食べ切れるか不安でしたが、ちょうどよく2人とも完食。お酒を飲む方でも良さそうな量感でした。入り口にはフリードリンクがあり、いつでも自由に飲むことができたのが嬉しかったです。趣ある旅館でしたがカップルや若いファミリーが多く、それぞれがのんびり過ごしてる感じでした。,2020-03-29
記念日プランで予約。ケーキのサプライズプレゼントもできて良かったです。この宿は温泉がとにかく充実していて、大浴場から足湯、貸切温泉から個室露天風呂まで、最高のお宿でした。料理もとても美味しかったです。,2020-03-29
スタッフの方々の対応が、穏やかで優しい雰囲気でよかったです。お料理も盛り付けも美しく、美味しかったです。欲を言えば、お風呂がもっと充実するといいなと思いました。,2020-03-27
1泊2日で利用させていただきましたが、料理も美味しく露天風呂も最高で部屋も綺麗でした。自分たちで好きな浴衣を選んだり、マッサージ機やコーヒーの無料提供などアメニティも充実していました。また、時間制で貸切露天風呂を利用でき、客室からではない外の景色を楽しめました。この旅館の特徴はどれかのみに特化しているというよりはどの分野も高いクオリティで提供しているところにあります。,2020-03-21
当日予定が空き子供達の体調も良かったので急遽予約入れました。宿のご厚意でお部屋グレードアップしましょうか？て電話いただき嬉しい有り難い一泊旅行でした子供も楽しかったまた行きたいと言ってますのでまた寄らせていただきます大浴場の脱衣所が寒かったのと部屋に前のお客さんのおもちゃが忘れてあったのだけ気になりましたあとは大変満足ですありがとうございました,2020-03-18
当日予約だったのに快く受け入れてくださり、ゆったり過ごせました！通常コースプランで、夕食はちょっと物足りないかなー？という感じですが、前菜のバーニャカウダーが絶品です！！！お風呂は、大浴場に露天がないのが残念ですが、貸し切りを利用したので問題ありませんでした！お部屋係がいないということで、自分で布団を敷くスタイルですが、好きな時に布団を敷けて、気を使わずゴロゴロできるので、私たちには最高でした^ ^,2020-03-18
かなりの雨で、タオルをいただきとても助かりました。ご飯も美味しかったです！浴衣も可愛かったのでまた行きたいす！,2020-03-12
接客や細かな気遣いが素晴らしかったです！そして、浴衣を着れるので友達とわいわいと楽しむことができました！温泉も最高でした！,2020-03-12
当日に予約してお伺いしましたが、大満足です！駐車場から少し歩いて、更に階段を昇るので大荷物だと結構大変です。。。帰りは雨だったんで更に大変でした。。。しかし、フロントの方の対応もとても良く、食事の際も離乳食を温めてくれたり色々と気を遣って声かけをしてくださり感謝です。お風呂も泉質が良くて２つの異なる源泉を引いていて順番に入ったりして楽しめました。貸切露天は子供が泣いてしまいゆっくり入れなかったので、次回はゆっくりつかれるようにタイミングを図りたいと思います。部屋は、決して新しくはないですが綺麗に掃除されており、一歳の子連れにはちょうどいい感じでした。また、夕食のみのプランにしたことで朝は時間に迫られることなくゆっくり爆睡できました☆また近いうちに泊まりたいと思っておりますのでその時はまたよろしくお願いします！,2020-03-02
一泊で利用させていただきました。露天が付いている部屋だったのですが、思ったよりお風呂が小さかったですが清潔感があったので良かったと思います。露天とは別にユニットバスがありましたが、そちらは少し汚れが目立ち気になりました。大浴場は湯の数が少なめなので、貸切露天も頼めて良かったです。食事と接客はとても良かったです。また利用したいと思います。,2020-03-01
今回彼女と2人で温泉旅行ということで利用しました。入口から趣のある旅館でとてもいい雰囲気だと感じました。フロントでスタッフの方からの説明があり、とても分かりやすく親切でした。ウェルカムドリンクや、コーヒーなどが飲み放題で良かったです。ただウェルカムドリンクのピーチジンジャーティーの味がとても薄かったです。多分混ざって無かったと思うんですが、大きい容器に入っていたのでなにか対策した方がいいかなと思います。部屋に入るととても落ち着いた雰囲気だなと思ったんですが、気になったのが窓の水垢。昼間のちょっと光が差してるとすごい目立ちます。さすがにそこは掃除した方がいいと思います。そして後から気づいたんですが、冷蔵庫に水が2本入ってました。最初は自由に飲んでいいんだなと思い、貸切露天風呂に入った後喉が渇いていたので水を飲もうとしたら半分減ってました。彼女に聞いたら飲んでないとの事だったのでおそらく前の人の飲み物だったんだと思います。そこは掃除が足りてないんだなと思いました。露天風呂もとてもよく、食事もとても美味しく大変満足でした。とてもいい旅館ですので、清潔感という理由で来なくなるのはもったいないことだと思います。ぜひ清掃の徹底をよろしくお願いします。,2020-02-27
連泊で利用しました。静かな環境でゆっくりすることができ、心身共にリフレッシュさせて頂きました。2食付きで一泊1万円という価格以上の満足感を得ることができ、特に夕食の別注料理と貸切風呂が嬉しかったです。,2020-02-18
一度、伺いたかった宿でした。強羅駅から徒歩圏内の立地なのですが、とにかく急な坂をあがるので宿の送迎を頼むのが無難です。スタッフの対応もとても親切で、宿泊当日、部屋が空いていたということで、広い和室へグレードアップ、また、貸切露天風呂半額プランでしたが、宿泊者が少なかったようで、無料にして頂けました。強羅公園を目の前に観光のお宿としてはばっちりです。お風呂が好きな私にとっては、屋内大浴場はややこじんまりとしていて物足りなかったかな？食事は、量少なめプランだったのでなんともいえませんが、おいしく頂けました。帰りに、お土産があり満足な温泉旅行でした。早く、箱根登山鉄道が再開され、アクセスがスムーズになりますように！,2020-02-18
フロントからお部屋までとても綺麗で雰囲気が素敵な旅館でした。足湯や飲み物、マッサージまでものサービスも充実していて驚きました。そして、なんと貸切温泉も特別に無料でご利用させて頂きとても楽しい時間が過ごせました。また、駐車場やアクセス手段の変更で何回かお電話を掛けさせて頂きましたが、非常に心地良い接客でした。恋人、友達問わず素晴らしい時間が過ごせる旅館だと思いますので、箱根旅行の際はまた利用させて頂きたいです。,2020-02-16
貸し切り風呂が無料でついているプランで利用しました。4つの種類があり、そのうちの１つでしたがとても良かったです。お食事も美味しかったのですが、スタッフの方が次から次へと料理を配膳しては食べ終わったものからすぐ下げてしまうので少し忙しない印象を受けました。その点が一点残念でした。,2020-02-10
１２月に２泊３日の利用でしたが、食事がとてもおいしかったです。接客も良かったので、また利用したいです。コスパはいいと思います。食事処では、適度にプライバシーが保たれており、子供に障がいがあるので、助かりました。,2020-02-10
彼の誕生日に予約させていただきました。チェックインより早めに近くに着いてしまい連絡した際にとても良い接客をしていただき初日から良い時間を過ごすことができました。最上級のお部屋に空きがありランクアップもしてくれてて最高の部屋でした！！夜、客室露天風呂で過ごそうかと思いましたが外が寒いのもあるのかユニットバスのシャワーが冷たくて入らなかったですが、そのかわり入る予定がなかった大浴場に入れて結果的に良かったかなって思ってます！ただ、一つ少し残念だったのが部屋のエアコンがいくら温度上げても場所的に寒かったことです(TT)たぶん窓が近いとこだったからだと思います！夕食もたっくさん出てきてお腹いっぱいになってしまいましたがすごく美味しくそのあとのお部屋に準備されていたバースデーケーキも彼が美味しいと大満足です(^^)受付の方も荷物が多いのを気にして声を気にしてくださったり浴衣のサイズ選びの際もアドバイスくれたりなど、口コミで不安だった点が全くなかったです！また機会ありましたら是非利用させていただきたいと思いました！本当にありがとうございました。,2020-02-08
急に思い立って行った箱根ひとり旅行。突然予約したにも関わらず、とても丁寧に対応していただき嬉しかったです！設備等に問題があったわけではないですが、トラブルがあった際にもきちんと対応していただけて、安心して過ごせました。また是非利用したいと思います、ありがとうございました。,2020-02-06
電話の対応からとても丁寧で、行く前から気持ちがよかった。実際の対応もわかりやすく、簡潔に伝えてくれた。食事のサービスなどは出てくるタイミングも完璧でした。食事量も女性や細身の男性には多すぎるくらいのボリュームで、種類も豊富に楽しみました。温泉も綺麗だし、部屋も綺麗だし、チェックアウトもスムーズで文句なしの空間を提供していただけました。また、行きたいと思いました。,2020-02-04
3世代で4人部屋と2人部屋を借りて宿泊しました。連休中の箱根でかなりリーズナブルだったので過度な期待はしていませんでしたが、結果、家族皆満足でした。料理は夕食、朝食ともに美味しく、部屋はかなり広く綺麗に維持されているのが分かります。夕食時のアルコール類もそこまで高くありませんでした。浴衣ではなく作務衣が用意されているのも良かったです。温泉の泉質はそこまで特徴は無く普通かなと感じました。ただWiFiは繋がりにくく諦めました。部屋によるのかも知れませんが。,2022-09-27
駅から近く、駐車場もありました。温泉はコロナ禍なので人数制限がありましたがスリッパで人数が把握出来るため利用しやすかったです。お部屋も広くて過ごしやすかったです。アメニティの気遣いが我が家には有り難かったです。また利用したい宿です。,2022-08-24
全体的に大変満足です。お風呂は定員4人までとの決めごとや、消毒液やビニールシートの設置などコロナ対策もきちんとされています。部屋は広く、入口や食堂、お風呂も清潔でした。大きなお宿ではないので、お風呂は男女各1つずつで、露天等は無いです。朝はぬるかったけど、夜は熱かったので水を足しました(ちゃんとホースがあります)。お料理は盛り付けが上品で、美味しかったです。量もしっかりありました。カラオケや卓球などもできるようです。ただ、駐車場までは狭い道なので、大型車だとしんどいかもしれません。また利用したいです。,2022-08-10
家族旅行で利用しました。朝食も夕食も盛りだくさんで大変満足出来ました。温野菜が美味しかったです。お風呂は源泉60度が出ているので水で調節して入りました。子供達には熱すぎたようです(^^ゞコスパ考えるとかなりオススメです。箱根に行く際はまた利用したいです。,2022-08-10
コロナ禍のなか実家の清掃のため利用しました。交通のアクセスは箱根強羅で宿前の道が細く、少し難儀しましたが、コンパクトカーならそれほどでもないと思います。館内はどこも清掃が行き届き、清潔感のある部屋でゆっくり出来ました。 室内が広いせいもありますが、ありがちな隣や上下の音が聞こえることもなく、ベットも清潔で臭い匂いなどもせず熟睡でした。夕食は食べ切れないほどの量でしたが、どれも手が込んでいて美味しかったです。蒸し野菜や肉料理、茄子田楽、カツオのタタキ、まだまだありますが朝食もありがちがなく楽しめました。受付に人がおらず内線呼出は初体験で戸惑いましたが、素足で歩いても清潔感があったので抵抗はありませんでした。夫婦共々リラックスして過ごせました。箱根観光の際は、また利用したいと思います。,2022-07-21
リピートで利用しました。今回は女子旅での利用。駅から近く便利です。食事付きのプランで利用しました。お食事は品数が多くあり味付けが繊細でとても美味しいです。いろんなものを少しずつ食べれて家族も喜んでいました。グルメな母親の口に合ったようでホッとしました！お肉とお魚両方食べれて満足です。お魚が好きなのでお刺身や焼き魚が出るのが嬉しいです。お刺身の切り方が分厚く食べ応えがあり幸せでした笑お部屋や施設全体も清潔感がありとても綺麗です。館内着がすごく快適でした！食事の際、急須の注ぎ口が欠けていたのとグラスにおいが残っていたのが少し残念でした。ですが、お料理、お部屋、お風呂、サービス、清潔感など全体的に大変満足しました。箱根利用の際は利用したいです！またよろしくお願いします^_^,2022-07-12
平日の宿泊だったからか、客は私たちだけでした。クチコミどおり、たいへんいいお宿だったと思います。和室で、布団敷きはセルフでしたが、それもまた気楽でいいものだと再認識。お風呂は小さめですが、客室も少ないので、貸切状態でなくてもそれほど密にはならないでしょう。お料理も質・量ともに充分満足できるものでした。掃除も行き届いており、残念なのは露天風呂がないことだけでした。,2022-06-24
50歳代、2度目の宿泊です。今回は３０１号室３階の３方向に、窓のある開放的なお部屋にご案内頂きました。北側には、新緑眩しい山が遠くに望め、又、南側は、強羅の駅舎から早雲山方面のロープウエイも望め、とても景色の素晴らしいお部屋でした。夕飯、朝ごはんもバランスよく、美しく､美味しく、量も丁度よく美味しく頂きました。お風呂も他の方と一緒になることなく、窓外のアルコーブから漏れる日差しを感じながら、ゆっくり入る事が出来ました。スタッフの皆様も、親切に接してくださり、施設のお名前とおりだと感じました。また、訪れたくなるお宿ですね。スタッフの皆様、有難うございました。,2022-05-30
箱根観光の前夜に泊まりましたが、強羅駅に近く移動にも便利です。こじんまりとした宿で密になることもなく　感染対策もきちんとしてくれており安心してゆっくり出来ました。温泉はとても熱くお水を入れながら入りましたが、ほぼ貸し切り状態だったので気がね無く入れました。3回入りました。息子はロビーの無料のマッサージ機でお風呂上がりにくつろいでました。何より　夕食も朝食も美味しかった。品数も多くて大満足でした。お世話になりました。,2022-05-10
車で行ったのですが、周りの道が細く、ちょっと分かりづらかった。旅館自体はきれいな印象。部屋は広く和室のいい匂い。食事は美味しい。但し量が多く食べきれない（笑）お風呂は一つだけですがコロナ化の人数制限で混まないように配慮。コロナで中々遠出できなかったですが、久しぶりにのんびりできました,2022-05-03
昨年の秋に夫婦で宿泊して良かったので、今回は足の不自由な高齢の義母を連れて行きましたが本当にいい宿でした。事前に義母の事は知らせていなかったのですが、チェックインの際に足が不自由な事に気付かれて、お風呂に高椅子を用意しますか？車椅子を使われますか？と気持ちの良い対応でした。和洋室の部屋は３人でも広過ぎるくらいです。お風呂は露天風呂は無しですが、ガラス張りで明るく熱めの温泉に水を入れながら宿泊中は貸し切り状態で堪能しました。食事は夕・朝とも和洋折衷で品数も多く夕食のビーフシチュー、朝食の金目鯛の干物に義母は大喜びでした。接客も丁度良い気配り加減で今回も本当にゆっくり出来ました。,2022-04-11
源泉かけ流し＋部屋が綺麗・清潔＋強羅駅から徒歩5分圏内＋低価格箱根の宿の中でもこれだけ条件の良いホテルはないと思います。大浴場についても最大でも4名までと、コロナ対策も万全。私は、入浴中誰も入ってこなかったので実質貸切状態で利用させていただきました。景観も良く、接客も良かったので次回箱根に訪れた際にも利用させていただきます。,2022-02-13
年末の家族旅行で利用しました。小さなお宿なので館内で人と一緒になることもなく落ち着いて静かに過ごすことが出来ました。今回一番良かったのはお食事で、量や種類美味しさはもちろんのこと器や盛り付けが素敵で非日常感を味わえました。,2022-01-15
箱根登山鉄道の強羅駅から徒歩５分以内と近くてアクセス良く駐車場もあります。クリスマスと年末の超繁忙時期の狭間にお安いプランがありましたので訪問しました。落ち着いた瀟洒な建物と清楚な内装で好感が持てます。食事なしプランでしたので、外で食事しました。強羅駅近辺は徒歩圏で食事できるところが少ないので、飛び込みで行くよりもあらかじめ予約を取っておく方が安心です。客室が少なめですので、温泉に２回入りましたが貸し切り状態でした。源泉かけ流しの単純泉で少し肌がぬるぬるするお湯でした。尚、時節柄コロナ対策はきちんと実施されていると思いました。,2021-12-29
隣の部屋の音､気にならない快適｡ 大浴場は広くありませんが､ちょうどよい快適｡駅近3分ぐらいと快適｡近場に食べるところも有り､ここを起点に観光する方には良いのでは！,2021-12-06
70代初めの夫婦です。評判が良かったので初めて利用してみました。場所が分かりにくくて，駅員さんに訊いたり，ホテルに電話したりして辿り着いたら，駅のすぐ近くでした。でも周りは静かでした。和室ですが天井の中央が高くなっているデザインで広く感じられ，畳も床も設備もとてもきれいで，気持ちよく過ごせました。トイレが一段上がっているので私達高齢者には要注意です（バス付きなので高くなっているのでしょう）。窓からの眺めが素晴らしく，座り心地の良いチェアでゆっくりできました。食事はバラエティに富むメニューでとても美味しく，量も十分でした。お風呂も十分広くて湯質も良かったです（白濁ではなく透明）。露天風呂がなくてちょっと残念でしたが，広いガラス窓から庭が見えるので気分的には露天かな。作務衣と足袋ソックスなど色んな点で工夫され，少人数のスタッフで精一杯のおもてなしをしていただいたと感じました。,2021-12-01
食事について、朝食は質・量ともとても良かったです。夕食はもう少し肉料理のボリュームがほしいかなと思います。温泉は清潔感があり温まりますが、好みですが白濁したお湯や硫黄成分が好みですと、こちらはサラッとした温泉です。お部屋にお湯のポットが無かったりしましたが、フロントの対応は良かったです。,2021-11-29
登山帰りに宿泊しました。温泉は、熱めでしたがとても気持ちよく疲れがとれました。ロビーに無料のマッサージ機があり、利用させてもらいました。食事も品数が沢山あり、とても美味しくいただきました。朝の干物も美味しかったです。浴衣が苦手なので、作務衣で過ごせて楽でした。また近くへ来た時は宿泊したいと思います。,2021-11-25
混雑を避けて宿泊部屋の少ないホテルをネットで検索、クチコミ評価されていたmy強羅を選んで大正解でした。特筆すべきは料理の品数の豊富さです。夕食も朝食も大満足でした。高齢夫婦と娘もそのおいしさに舌鼓を打ちました。感染対策もしっかりとされていて安心感がありました。次回は春の季節にまた宿泊したいと思います。,2021-11-25
朝食だけでしたが、和洋両方が出てくる豪華な朝食でした！夕食付にしなかったことが悔やまれるくらいです。お風呂はそれほど熱くはなかったです。人数制限しているのもあるでしょうが、他のお客さんと一緒になることもなく、ゆっくり浸かっていられました。強羅駅からすぐのところにあるので、車より電車で行く人におすすめです。ホテルの中にきちんとした売店はないので、お土産等は強羅駅近くのお店で買うと良いと思います。が、午後5時には大半の店が閉まってしまうので、時間にはお気をつけを。,2021-11-22
駅周辺にコロナ渦の影響か、殆ど食事ができるところが無い食事をするなら、宿か箱根湯本駅周辺で食べたほうが良いかもしれないお風呂は柔らかいお湯で良かったです。お風呂に入るときに、わざわざ入口から遠くで脱いで置いておいたのに、風呂からあがったら間違えて履かれてしまったようだった。部屋は広く、朝食もおいしかったです。,2021-10-30
源泉掛け流しの温泉に入りたくて、口コミを見て予約しました温泉は熱めでしたが、慣れれば大丈夫お肌ツルツルになり大満足ですお風呂へ行く用の籠も便利でした浴衣でなく作務衣よのうな部屋着も良かったですお部屋は和室で、清潔、居心地良かったです窓から美しい山が見え、とても癒されました食事は、和食を頂きましたステキな器に盛られ、目にも美味しくお味も良かったです布団がマルハチの至福の眠りというもので、ぐっすり眠れましたひとつ、要望としては、お料理のお品書きがあれば、なお良かったです美味しいけど、これ、なにかな？と言いながら頂いてました強羅駅にも近く、駐車場もあり便利でした夫とまた行きたいねと話してます,2021-07-24
今回初めて利用させていただきました！全体的に清潔感があり、接客してくれた方たちも感じの良い印象をうけました。部屋が広く、アメニティや細やかな場所まで気配りを感じることができるホテルでした。また温泉が源泉かけ流しということもあり大変満足しました。また利用させて頂きたいとおもいます。,2021-07-24
箱根強羅温泉では非常に珍しい『源泉かけ流し』の宿とのことで、それだけでも価値が高い。部屋数も少ないため、混み合うこともなく、貸切状態でとてもゆったりと過ごすことができた。次は連泊して箱根観光の拠点としてリピートしたい。,2021-06-17
とても清潔感のあるお宿です。露天風呂はなく、こじんまりしたお風呂ですが源泉かけ流しでゆったりできます。食事も美味しく量的にも大変満足しました。娯楽施設はありませんが、ゆったりのんびりするには最適の宿です。またお伺いしたいと思います。,2021-05-05
素泊まりで伺いました。10畳の和室は、とても綺麗でした。大浴場のお風呂は熱いのですが、気持ちいい熱さ。いいお湯でした。感染対策のために、4名まで、外にあるスリッパを見て、4人になるように入りました。一度部屋に戻ったけど、しばらくして入れました。とにかく駅からちかい。電車利用の場合は、便利です。,2021-03-31
いつもの部屋で、いつもの湯に浸かり、いつもの旨い会食を頂戴出来ました！  兎に角、私にとって箱根は近くてのんびり過せます。箱根の湯は好きです。,2021-01-15
何度か利用しています。温泉の質が良いのと、部屋数も多くなく、ゆっくりくつろげるのが気に入っています。コロナ禍で、衛生面は、しっかり対応されており、清潔感は以前と変わることがなかったので、安心して泊まれました。食事も沢山出て、満腹でした。,2021-01-04
お風呂カゴ、館内着、靴下　とても使い勝手がよく感動。コロナのための洗面所のコップも、カラフルで可愛かった。夜、窓から見えるツリーのイルミネーションも素敵でした。そして強羅もち、美味でした。,2020-12-30
今回はコロナ下で自粛を続けて来てやっと東京もgotoトラベルに参加できたので、箱根に来てみました。交通手段を車にしてできるだけ寄り道せずにホテルへ向かいました。ホテルはバイキングでなく部屋数の少ないホテルを選びました。ホテルは部屋が広く清潔で満足しました。食事は部屋が8室にもかかわらず、4組のみでした。他の部屋の方は食事なしの素泊まりになっていました。お風呂も4名以内の利用に制限されていたので安心して入ることができました。夕食は食事内容も食べきれないほどの品数で満足しました。朝食は和洋が中途半端でしたが、量は多く満足しました。コロナ対策が万全で安心して宿泊できました。,2020-11-29
電車利用のため、電車、ケーブルカー、バスのいずれにも交通の便が良い強羅で２泊しました。駅からは２分ほどで、とても楽でした。３階の和洋室は驚くほど広く、３方に窓があり、窓からの山の眺めがきれいで落ち着けました。ベッドは柔らかすぎず、寝心地が良かったです。とにかく食事がおいしく、お肉も魚も野菜も質にこだわっていました。多品種のおかずがそれぞれとても丁寧に調理されていて、見た目もきれいで量もたくさんありました。ご飯は土鍋で昆布を入れて炊いてくださり、本当においしかったですし、お吸い物、赤味噌、白味噌と毎回違うタイプのおつゆも嬉しかったです。和食がメインですが、洋食も少しついていました。温泉も露天ではないものの掛け流しで、窓から小庭が見え、朝晩楽しませていただきました。宿の方は皆さま笑顔で接してくださり、久しぶりに出かけた旅行でしたが、やはり旅行は楽しいものだと実感しました。こじんまりした宿ならではの落ち着きがお好きな方にはとても良いと思います。,2020-11-11
今までに何回か利用させてもらってますが、今回久々の家族旅行でお世話になりました。チェックイン時に杖をついて歩く父の姿を見て、女将さんから「車椅子を用意しましょうか」「お風呂に介護用椅子を設置しておきましょうか」等声をかけて頂いた時は嬉しかったです。館内はエレベータ完備で食堂に行く時や、部屋全体(ツイン利用)もバリアフリーになっており、夜中トイレに行く時や、お風呂も手摺がありましたので安心して過ごす事が出来ました。食事は全て美味しく、特に夕食は季節感感じる品々で男性でも満足できる量です。安心して過ごせる館内、気配りの利く女将さんも居るので父も元気をもらえて嬉しかったです！是非また利用させて頂きます。ありがとうございました。,2020-10-26
３階の和洋室を利用しました。３方の景色が見えるので、当日は雨でしたが窓からの緑が優しくて、和みました。メインは夕食です。刺身、鍋物、茶碗蒸し、種々の和食の料理があり、色々な味覚を楽しめました。コロナ対策で浴場は４名迄の制限でした。しかし朝晩の２回入りましたが、待たずに入れました。又、リピートしたいと思います。,2020-10-19
部屋数が少なく、にごり湯、和洋室、食事が好評だけどハイクラスではない宿を探していたらこちらがあったので行ってみました。風呂は露天風呂が無いのが残念だが個人的にはとても良い湯でした。和洋室の部屋は２人では広すぎました。夕食は品数が多く美味しくて本当に満腹になりました。常時フロントに人がいないので、多少気になる点はありましたが少ない人数でも皆さん笑顔で感じの良い対応が良かった。今回はGoToトラベルでかなり安く利用出来たので満足です。,2020-10-12
口コミ評価が異様に高く、やはり点数との相違はありました。全てが普通でした。もちろん悪くはないのですが、帰るまでに何か点数程のことがあるのかと思いきや、特別なこともなく終わりました。きっと、常連さんがたくさん書き込んでくださったのでしょうか〜けど、そういうお客様をもつこともこの宿のメリットなんでしょう。,2020-02-10
ホテルまでの道が狭く大きな車は大変布団はセルフでしたが朝夕食事は美味しかったお風呂は源泉かけ流しで良かった,2020-01-06
素泊まりで泊まらせていただきました。強羅駅から送迎もしてくださるとのことでしたが、当日急に旅行に行くことにしたのでホテルには頼まず、強羅からタクシーで（途中コンビニにも寄りつつ）1500円ぐらいで到着しました。建物自体は古めな感じですが部屋は綺麗で清潔感がありました。夜中消灯の？ためか廊下などの電気が消えていました。喫煙者のため1階の部屋から2階の喫煙所に行くまで夜中はちょっと不気味な感じもしましたw昭和の古ーい建物の感じな匂いもしたので、娘は全然ヘーキと言ってましたので私の感覚なのかもしれません。部屋数はすくないので、あまり他の方に会うこともなく、夜中もお風呂に入れたので娘とのんびりお風呂を楽しめました。帰りは強羅駅までお送りいただきました。,2022-09-12
ケーブルカーで今回は向かいましたが、ホテルの場所が坂の途中にあり、また一段上がっているため、向かうまで登り坂が多く荷物を運ぶには、キャリーバッグ必須だと思いますが、接客もとでも親切にしてくださいました。朝食は食材も良くとても美味しく頂きました。,2022-09-01
大型施設と見紛う立派な玄関ですが客室数は10。意外と小ぢんまりしたホテルです。故にスタッフの数が少なくマンパワー不足の感は否めませんが、接客姿勢は立派。コンシェルジュが海外の方だったので一抹の不安を感じましたが、どうしてどうして日本人より日本的な接客で、ちょっと驚きです。夕食は外で戴きましたが、玄関で靴を出して頂くのにベルを鳴らすと、二階の食堂から駆け降りて来てくれました。マンパワー不足だからそうなるんですが、こう頑張られると好印象しかありません。客室はスタンダードツインでしたがリゾートホテル並みの広さ。清掃状態は良好で快適な一泊でした。テレビに空いているHDMI端子があったのでGoogleTVを繋いでビデオオンデマンドを楽しむ事ができました。温泉ですが大涌谷と宮城野の混合泉。両方共蒸気造成泉です。人工的に蒸気造成された人造温泉なんですが、天然の蒸気造成のシステムを真似ているだけで結果としての温泉は天然物と何ら変わりはありません。大涌谷の白濁湯に宮城野の湯を混ぜてあるので、芦之湯か芦ノ湖のようなやや白濁の好い湯です。半露天の一つが運転中止中だったのが残念でした。リーズナブルに箱根の温泉を楽しめ、且つホテルの快適さを併せ持つ良宿だと思います。,2022-07-23
清掃が行き届き気持ちよく過ごすことができました。チェックインの際の説明も丁寧でした。内風呂は全面窓で解放感があり半露天風呂のような感じでした。食事は個人的には適量ですし美味しかったです。夫婦二人でビールを頼んだのですが、ビールジョッキが空になったタイミングで直ぐにお茶が出てきました。（私はジョッキ半分しか飲めないので、ジョッキを主人に渡したのでおかわりが無い事を察しての事だったと思います。）細やかな気配りにとても感動いたしました。チェックアウトの後、早雲台駅まで女将さんに送って頂きました。車から降りた後、深々とお辞儀をして下さって、いつまでも見送って下さいました。お手頃な上にホスピタリティも言う事なし、満足のお宿でした。また機会があればお世話になりたいです。,2022-07-06
箱根観光の際に利用致しました。お部屋が広く過ごしやすかったです。食事もボリュームあり美味しかったです。食事会場で対応して下さった外国のスタッフさんの丁寧な所作に、心地よく過ごすことができました。ありがとうございました。,2022-06-30
お風呂は男女入れ替えの時以外はほぼチェックインからアウトまで入れてよかった。男女の入れ替えの時間が良くて、夜も朝も両方のお風呂に入れたのも良かったです。部屋でWiFiが使えなくて困った。,2022-06-25
景色を楽しみに行きましたが、1階で駐車場があり落ち着かなく残念でした。こちらの要望で食事処を替えて頂き大変満足しました。昨年9月に行った時より温泉が少し白濁になっていたのは良かったです。以前の様な濃い濁り湯に又、入りたいです。静かでゆっくり出来るので、また利用したいです。,2022-06-11
始めての宿泊でした。部屋のテレビが小さかったですがリーズナブルなのでやむ無しかな。老朽化は否めない感じですが、食事は良かったです。,2022-06-11
素泊まりで泊まりに行きました。温泉は小さいけれど露天風呂が雰囲気があってよかったです。パウダールームにドライヤーはあるけれど、お部屋も欲しいなあ…。卓球が無料で出来るのが嬉しかったし楽しめました。お部屋は綺麗で広く過ごしやすかったです。部屋のユニットバスのシャワーの目が詰まっていて半分くらいの穴からしか出てこなくて痛かったのが少し残念、、、。でも素泊まりでこんなに安く泊まれるのはいいなと思いました。,2022-05-17
